%	I.id	Rstop.x	Rstop.y	Rstop.z
1	8.808241e+02	1.115209e+03	8.197299e+02
1	8.855110e+02	1.117934e+03	8.219256e+02
1	8.745605e+02	1.115982e+03	8.218910e+02
2	8.788294e+02	1.107498e+03	8.272510e+02
1	8.877377e+02	1.105000e+03	8.415485e+02
1	8.746690e+02	1.112817e+03	8.292930e+02
2	8.720799e+02	1.108452e+03	8.168303e+02
1	8.754042e+02	1.105627e+03	8.138419e+02
2	8.690939e+02	1.106998e+03	8.245882e+02
1	8.764829e+02	1.108030e+03	8.242840e+02
1	8.643621e+02	1.160304e+03	9.180276e+02
1	8.602349e+02	1.156765e+03	9.178664e+02
1	8.602796e+02	1.160147e+03	9.180176e+02
1	8.682360e+02	1.147333e+03	9.221981e+02
1	8.805198e+02	1.136604e+03	9.222056e+02
1	8.816861e+02	1.135272e+03	9.172940e+02
1	8.834356e+02	1.136474e+03	9.170310e+02
1	8.770513e+02	1.117038e+03	9.230236e+02
1	8.765356e+02	1.122905e+03	9.222568e+02
1	8.748954e+02	1.113403e+03	9.147947e+02
2	8.728299e+02	1.107225e+03	9.163499e+02
1	8.752893e+02	1.106761e+03	9.172856e+02
1	8.820017e+02	1.121734e+03	9.058146e+02
1	8.952153e+02	1.128513e+03	8.989288e+02
2	9.016555e+02	1.124180e+03	9.037572e+02
2	9.048934e+02	1.126339e+03	9.077882e+02
1	9.032556e+02	1.126913e+03	9.050648e+02
2	8.952851e+02	1.119837e+03	9.077941e+02
1	8.956430e+02	1.130531e+03	9.028765e+02
2	9.025736e+02	1.115451e+03	8.914663e+02
1	8.990604e+02	1.118878e+03	8.791126e+02
1	8.987655e+02	1.120178e+03	8.461126e+02
2	9.052587e+02	1.124646e+03	8.506747e+02
1	9.068143e+02	1.124448e+03	8.498876e+02
1	8.963136e+02	1.125841e+03	8.420318e+02
2	8.965562e+02	1.133184e+03	8.395533e+02
1	8.970301e+02	1.129982e+03	8.377269e+02
1	8.839958e+02	1.115187e+03	8.301259e+02
1	8.653161e+02	1.109762e+03	8.226315e+02
1	8.728051e+02	1.107326e+03	8.233380e+02
2	8.822534e+02	1.096410e+03	8.117587e+02
2	8.915215e+02	1.093718e+03	8.207071e+02
2	8.901344e+02	1.092928e+03	8.040495e+02
1	8.915326e+02	1.096660e+03	8.114082e+02
2	8.804094e+02	1.088468e+03	8.016042e+02
1	8.763550e+02	1.078930e+03	8.010227e+02
1	8.779250e+02	1.076830e+03	8.042566e+02
1	8.821251e+02	1.076922e+03	7.989002e+02
1	8.839922e+02	1.072988e+03	7.902304e+02
2	8.709372e+02	1.072348e+03	7.993575e+02
1	8.890856e+02	1.082601e+03	7.799082e+02
1	8.860868e+02	1.085952e+03	7.854405e+02
2	8.909252e+02	1.076377e+03	7.791516e+02
1	8.871947e+02	1.080236e+03	7.762609e+02
2	8.725128e+02	1.094164e+03	7.988576e+02
1	8.806709e+02	1.088417e+03	7.896669e+02
1	8.742818e+02	1.085220e+03	7.876677e+02
2	8.870531e+02	1.065846e+03	7.834145e+02
1	9.112568e+02	1.067034e+03	7.991574e+02
1	9.161554e+02	1.070146e+03	8.048202e+02
1	9.011522e+02	1.063337e+03	7.845239e+02
2	8.815712e+02	1.072140e+03	7.789639e+02
2	8.877999e+02	1.075239e+03	7.760940e+02
1	8.759360e+02	1.080133e+03	7.640376e+02
1	8.759657e+02	1.084390e+03	7.613413e+02
1	8.756624e+02	1.085241e+03	7.615114e+02
1	8.815505e+02	1.070285e+03	7.695672e+02
1	8.833199e+02	1.064918e+03	7.738778e+02
2	8.682066e+02	1.085167e+03	7.672193e+02
2	8.759431e+02	1.084416e+03	7.630401e+02
1	8.725810e+02	1.088980e+03	7.621689e+02
2	8.676136e+02	1.081219e+03	7.705896e+02
1	8.665520e+02	1.080545e+03	7.716974e+02
2	8.830530e+02	1.070820e+03	7.719045e+02
1	8.725555e+02	1.070804e+03	7.749886e+02
2	8.684562e+02	1.072365e+03	7.720940e+02
2	8.650651e+02	1.074590e+03	7.685601e+02
2	8.655342e+02	1.051024e+03	7.709486e+02
2	8.592139e+02	1.046296e+03	7.644493e+02
2	8.620493e+02	1.042445e+03	7.671012e+02
1	8.588778e+02	1.041341e+03	7.682238e+02
2	8.597184e+02	1.051628e+03	7.608968e+02
1	8.797242e+02	1.094513e+03	7.345128e+02
1	8.684999e+02	1.078577e+03	7.509464e+02
1	8.608351e+02	1.068483e+03	7.321205e+02
2	8.578732e+02	1.053743e+03	7.434398e+02
2	8.604082e+02	1.048011e+03	7.389555e+02
1	8.476994e+02	1.065664e+03	7.371414e+02
2	8.571174e+02	1.063812e+03	7.543206e+02
2	8.527418e+02	1.035239e+03	7.564366e+02
2	8.496319e+02	1.036917e+03	7.589187e+02
1	8.470118e+02	1.031737e+03	7.590881e+02
2	8.471627e+02	1.034181e+03	7.827723e+02
2	8.399576e+02	1.035838e+03	7.809232e+02
1	8.438119e+02	1.032203e+03	7.791778e+02
2	8.510237e+02	1.035476e+03	7.881529e+02
2	8.585678e+02	1.036171e+03	7.888429e+02
1	8.589595e+02	1.040133e+03	7.810858e+02
1	8.523029e+02	1.031994e+03	7.892520e+02
1	8.575117e+02	1.030692e+03	7.822196e+02
1	8.605600e+02	1.032514e+03	7.816682e+02
2	8.503240e+02	1.022830e+03	7.839484e+02
1	8.613119e+02	1.032215e+03	7.951026e+02
2	8.591458e+02	1.037094e+03	7.863970e+02
2	8.640168e+02	1.033591e+03	7.870891e+02
2	8.501992e+02	1.030047e+03	8.008108e+02
1	8.483377e+02	1.033507e+03	7.906115e+02
2	8.526361e+02	1.018618e+03	7.813913e+02
2	8.453020e+02	1.018762e+03	7.782196e+02
2	8.386855e+02	1.017411e+03	7.819229e+02
1	8.437229e+02	1.019886e+03	7.754055e+02
1	8.662449e+02	1.022086e+03	7.724480e+02
2	8.693618e+02	1.026455e+03	7.763117e+02
1	8.595139e+02	1.030521e+03	7.765705e+02
2	8.496014e+02	1.009203e+03	7.639448e+02
2	8.695966e+02	1.003037e+03	7.680745e+02
1	8.628212e+02	1.003695e+03	7.643927e+02
2	8.553685e+02	1.007994e+03	7.697565e+02
1	8.510312e+02	1.010209e+03	7.656076e+02
