%	V.id	R.x	R.y	R.z
1	8.543686e+02	8.072972e+02	-7.230223e+01
2	8.543093e+02	8.072638e+02	-7.035761e+01
1	8.560215e+02	8.082580e+02	-5.715883e+01
1	8.573226e+02	8.090187e+02	-4.963030e+01
2	8.589073e+02	8.116487e+02	-3.770550e+01
2	8.605127e+02	8.126130e+02	-3.014553e+01
2	8.648606e+02	8.170471e+02	7.468956e+00
1	8.635108e+02	8.445001e+02	2.192724e+02
1	8.650522e+02	8.489510e+02	2.519220e+02
1	8.635082e+02	8.569635e+02	3.071672e+02
2	8.650411e+02	8.595859e+02	3.241824e+02
1	8.650719e+02	8.596255e+02	3.273395e+02
2	8.650292e+02	8.614024e+02	3.366915e+02
2	8.620503e+02	8.703198e+02	4.096313e+02
1	8.619392e+02	8.702894e+02	4.127084e+02
2	8.619772e+02	8.702475e+02	4.146362e+02
2	8.543147e+02	8.675601e+02	4.548478e+02
1	8.480795e+02	8.694100e+02	4.957580e+02
2	8.480836e+02	8.692657e+02	4.974702e+02
2	8.481464e+02	8.711355e+02	5.025973e+02
1	8.496841e+02	8.755615e+02	5.233213e+02
1	8.513354e+02	8.782707e+02	5.332761e+02
2	8.512568e+02	8.781801e+02	5.352830e+02
2	8.512246e+02	8.817755e+02	5.428100e+02
1	8.527217e+02	8.861914e+02	5.534862e+02
2	8.466868e+02	9.003736e+02	5.729224e+02
2	8.420080e+02	9.154976e+02	5.905276e+02
2	8.404608e+02	9.180401e+02	5.955759e+02
1	8.389036e+02	9.207939e+02	5.986557e+02
2	8.343617e+02	9.341930e+02	6.156753e+02
1	8.327839e+02	9.403232e+02	6.213324e+02
1	8.328278e+02	9.420595e+02	6.238001e+02
2	8.312375e+02	9.465570e+02	6.283153e+02
1	8.266590e+02	9.580581e+02	6.439403e+02
1	8.250723e+02	9.606344e+02	6.489822e+02
2	8.220635e+02	9.677373e+02	6.583040e+02
2	8.204865e+02	9.740304e+02	6.659318e+02
2	8.204830e+02	9.757122e+02	6.684295e+02
1	8.250387e+02	9.854538e+02	6.817138e+02
1	8.250849e+02	9.873386e+02	6.841519e+02
1	8.265795e+02	9.899760e+02	6.892159e+02
2	8.296527e+02	9.953049e+02	6.960787e+02
2	8.328392e+02	9.989018e+02	7.036159e+02
2	8.342968e+02	9.997534e+02	7.087353e+02
2	8.374272e+02	1.005154e+03	7.186801e+02
2	8.389519e+02	1.005885e+03	7.212625e+02
1	8.404388e+02	1.010411e+03	7.268747e+02
2	8.419852e+02	1.013035e+03	7.287051e+02
1	8.420431e+02	1.014854e+03	7.318739e+02
2	8.435416e+02	1.017476e+03	7.336910e+02
1	8.465798e+02	1.022826e+03	7.419545e+02
1	8.465373e+02	1.024718e+03	7.442821e+02
2	8.512221e+02	1.030804e+03	7.538782e+02
2	8.527665e+02	1.035240e+03	7.564050e+02
1	8.573466e+02	1.043212e+03	7.595382e+02
2	8.589587e+02	1.045980e+03	7.614597e+02
2	8.604168e+02	1.046819e+03	7.639145e+02
2	8.649314e+02	1.052941e+03	7.689610e+02
1	8.727136e+02	1.066287e+03	7.771598e+02
2	8.757987e+02	1.069821e+03	7.815386e+02
1	8.773222e+02	1.077778e+03	7.897235e+02
2	8.772703e+02	1.077939e+03	7.915876e+02
1	8.788542e+02	1.080501e+03	7.947195e+02
1	8.788095e+02	1.082289e+03	7.971934e+02
2	8.804016e+02	1.088459e+03	8.016132e+02
2	8.819394e+02	1.096444e+03	8.116816e+02
1	8.805771e+02	1.104570e+03	8.198812e+02
2	8.788514e+02	1.107005e+03	8.217377e+02
1	8.789385e+02	1.112407e+03	8.198888e+02
1	8.804343e+02	1.115075e+03	8.198311e+02
1	8.809161e+02	1.115109e+03	8.199531e+02
2	8.781954e+02	1.107063e+03	8.216918e+02
1	8.787275e+02	1.107530e+03	8.251668e+02
1	8.785289e+02	1.108293e+03	8.272620e+02
1	8.775349e+02	1.107378e+03	8.224930e+02
2	8.758135e+02	1.106947e+03	8.215996e+02
1	8.758883e+02	1.106603e+03	8.202005e+02
1	8.803588e+02	1.104815e+03	8.202230e+02
1	8.863322e+02	1.112803e+03	8.318994e+02
1	8.939494e+02	1.118185e+03	8.455257e+02
1	8.974715e+02	1.119331e+03	8.768749e+02
2	8.972072e+02	1.119462e+03	8.893698e+02
1	8.960811e+02	1.122234e+03	8.973501e+02
2	8.962159e+02	1.121819e+03	8.992042e+02
1	8.939716e+02	1.122521e+03	9.002810e+02
1	8.866147e+02	1.121593e+03	9.072405e+02
1	8.820337e+02	1.121336e+03	9.127691e+02
1	8.794553e+02	1.124436e+03	9.178619e+02
1	8.772512e+02	1.131433e+03	9.206939e+02
1	8.679795e+02	1.146800e+03	9.211431e+02
1	8.618866e+02	1.154634e+03	9.173938e+02
1	8.603378e+02	1.156770e+03	9.178803e+02
1	8.790587e+02	1.133131e+03	9.202514e+02
1	8.819345e+02	1.135246e+03	9.174033e+02
1	8.788728e+02	1.123118e+03	9.203920e+02
2	8.749683e+02	1.113379e+03	9.149075e+02
1	8.727286e+02	1.109404e+03	9.173349e+02
2	8.987291e+02	1.120695e+03	9.023454e+02
1	9.005005e+02	1.121295e+03	9.027314e+02
2	9.017454e+02	1.124029e+03	9.039678e+02
1	8.958777e+02	1.120360e+03	8.448243e+02
2	8.990903e+02	1.120489e+03	8.461979e+02
1	9.020189e+02	1.121492e+03	8.474665e+02
2	8.963196e+02	1.125827e+03	8.420039e+02
1	8.972083e+02	1.127633e+03	8.402409e+02
1	8.758573e+02	1.105729e+03	8.220132e+02
2	8.822666e+02	1.096436e+03	8.117164e+02
2	8.853038e+02	1.095954e+03	8.116345e+02
1	8.895792e+02	1.094258e+03	8.098356e+02
1	8.787788e+02	1.080240e+03	7.992116e+02
1	8.794757e+02	1.080294e+03	7.944934e+02
2	8.775744e+02	1.079533e+03	7.892454e+02
1	8.853929e+02	1.078626e+03	7.815131e+02
2	8.862292e+02	1.078225e+03	7.817111e+02
1	8.871993e+02	1.081848e+03	7.822384e+02
1	8.771128e+02	1.083349e+03	7.891797e+02
1	8.772800e+02	1.086458e+03	7.916099e+02
2	8.790603e+02	1.069551e+03	7.810113e+02
1	8.817649e+02	1.068034e+03	7.823883e+02
1	8.974298e+02	1.065882e+03	7.867589e+02
1	9.112598e+02	1.067193e+03	7.993727e+02
2	8.816897e+02	1.071997e+03	7.789883e+02
1	8.728595e+02	1.069775e+03	7.746353e+02
2	8.745304e+02	1.070947e+03	7.737570e+02
2	8.728704e+02	1.077614e+03	7.691692e+02
1	8.760208e+02	1.077470e+03	7.670612e+02
1	8.759895e+02	1.080148e+03	7.640545e+02
1	8.758948e+02	1.084487e+03	7.615369e+02
1	8.816729e+02	1.070421e+03	7.697526e+02
2	8.710559e+02	1.079525e+03	7.692836e+02
2	8.716371e+02	1.083036e+03	7.668401e+02
1	8.727590e+02	1.085792e+03	7.644701e+02
1	8.691344e+02	1.079923e+03	7.698427e+02
2	8.710213e+02	1.070610e+03	7.738973e+02
2	8.685080e+02	1.072358e+03	7.719693e+02
2	8.607449e+02	1.046802e+03	7.639380e+02
1	8.619684e+02	1.042450e+03	7.671032e+02
1	8.583718e+02	1.056342e+03	7.489055e+02
2	8.590664e+02	1.056916e+03	7.461099e+02
1	8.625796e+02	1.064874e+03	7.419123e+02
1	8.695594e+02	1.075296e+03	7.439316e+02
2	8.593914e+02	1.054250e+03	7.438138e+02
2	8.559663e+02	1.061254e+03	7.511581e+02
2	8.527136e+02	1.035219e+03	7.564141e+02
1	8.512959e+02	1.034666e+03	7.574771e+02
1	8.513212e+02	1.028875e+03	7.570173e+02
1	8.539922e+02	1.025671e+03	7.615829e+02
2	8.541521e+02	1.024836e+03	7.636556e+02
1	8.545400e+02	1.026175e+03	7.724454e+02
1	8.525758e+02	1.026342e+03	7.771204e+02
2	8.524396e+02	1.026599e+03	7.786952e+02
2	8.523343e+02	1.030018e+03	7.810015e+02
2	8.477862e+02	1.032593e+03	7.811735e+02
1	8.454779e+02	1.032712e+03	7.802766e+02
1	8.543763e+02	1.031049e+03	7.829022e+02
1	8.542150e+02	1.033140e+03	7.852657e+02
1	8.553513e+02	1.034867e+03	7.847827e+02
2	8.557716e+02	1.035679e+03	7.861206e+02
1	8.574999e+02	1.030782e+03	7.820805e+02
2	8.507819e+02	1.024131e+03	7.790872e+02
1	8.506816e+02	1.031061e+03	7.916440e+02
2	8.516881e+02	1.030708e+03	7.935721e+02
2	8.574041e+02	1.032474e+03	7.917202e+02
2	8.598481e+02	1.034159e+03	7.891475e+02
2	8.494093e+02	1.021492e+03	7.784954e+02
1	8.468400e+02	1.020942e+03	7.776672e+02
