% Depth (A)	V1 (cm^-3)	V2 (cm^-3)	...
5.000000e+01	3.703684e+07	3.081535e+07	
1.500000e+02	3.671790e+07	3.646960e+07	
2.500000e+02	4.017571e+07	3.623077e+07	
3.500000e+02	4.154037e+07	3.750673e+07	
4.500000e+02	3.971430e+07	3.571438e+07	
5.500000e+02	3.561461e+07	3.092902e+07	
6.500000e+02	2.931875e+07	2.488453e+07	
7.500000e+02	2.117868e+07	1.850253e+07	
8.500000e+02	1.519417e+07	1.288773e+07	
9.500000e+02	1.034247e+07	8.660442e+06	
1.050000e+03	6.170093e+06	5.149630e+06	
1.150000e+03	3.768679e+06	3.361968e+06	
1.250000e+03	2.267417e+06	1.841593e+06	
1.350000e+03	1.619574e+06	1.299927e+06	
1.450000e+03	9.801574e+05	8.050797e+05	
1.550000e+03	7.062849e+05	6.058289e+05	
1.650000e+03	4.592191e+05	4.239621e+05	
1.750000e+03	2.933127e+05	2.696940e+05	
1.850000e+03	2.478211e+05	1.927076e+05	
1.950000e+03	2.329838e+05	1.594402e+05	
2.050000e+03	1.076014e+05	8.819803e+04	
2.150000e+03	1.168855e+05	6.807283e+04	
2.250000e+03	4.157625e+04	4.113209e+04	
2.350000e+03	7.766894e+04	6.593853e+04	
2.450000e+03	2.662158e+04	1.952278e+04	
2.550000e+03	2.309090e+04	1.402955e+04	
2.650000e+03	3.928383e+04	4.621188e+04	
2.750000e+03	2.861598e+04	1.720165e+04	
2.850000e+03	1.616507e+04	1.097022e+04	
2.950000e+03	1.048831e+04	1.139699e+04	
3.050000e+03	3.451561e+03	1.234117e+03	
3.150000e+03	7.146765e+03	1.115471e+04	
3.250000e+03	7.284744e+03	2.392434e+03	
3.350000e+03	2.402019e+02	1.031872e+02	
3.450000e+03	3.071382e+02	1.468126e+02	
3.550000e+03	1.667523e+03	3.102766e+02	
3.650000e+03	2.975184e+03	5.935241e+03	
3.750000e+03	6.930350e+03	4.540967e+03	
3.850000e+03	5.531422e+03	2.770420e+03	
3.950000e+03	1.089288e+04	2.792364e+03	
4.050000e+03	0.000000e+00	0.000000e+00	
4.150000e+03	0.000000e+00	0.000000e+00	
4.250000e+03	0.000000e+00	0.000000e+00	
4.350000e+03	0.000000e+00	0.000000e+00	
4.450000e+03	0.000000e+00	0.000000e+00	
4.550000e+03	0.000000e+00	0.000000e+00	
4.650000e+03	0.000000e+00	0.000000e+00	
4.750000e+03	0.000000e+00	0.000000e+00	
4.850000e+03	0.000000e+00	0.000000e+00	
4.950000e+03	0.000000e+00	0.000000e+00	
5.050000e+03	0.000000e+00	0.000000e+00	
5.150000e+03	0.000000e+00	0.000000e+00	
5.250000e+03	0.000000e+00	0.000000e+00	
5.350000e+03	0.000000e+00	0.000000e+00	
5.450000e+03	0.000000e+00	0.000000e+00	
5.550000e+03	0.000000e+00	0.000000e+00	
5.650000e+03	0.000000e+00	0.000000e+00	
5.750000e+03	0.000000e+00	0.000000e+00	
5.850000e+03	0.000000e+00	0.000000e+00	
5.950000e+03	0.000000e+00	0.000000e+00	
6.050000e+03	0.000000e+00	0.000000e+00	
6.150000e+03	0.000000e+00	0.000000e+00	
6.250000e+03	0.000000e+00	0.000000e+00	
6.350000e+03	0.000000e+00	0.000000e+00	
6.450000e+03	0.000000e+00	0.000000e+00	
6.550000e+03	0.000000e+00	0.000000e+00	
6.650000e+03	0.000000e+00	0.000000e+00	
6.750000e+03	0.000000e+00	0.000000e+00	
6.850000e+03	0.000000e+00	0.000000e+00	
6.950000e+03	0.000000e+00	0.000000e+00	
7.050000e+03	0.000000e+00	0.000000e+00	
7.150000e+03	0.000000e+00	0.000000e+00	
7.250000e+03	0.000000e+00	0.000000e+00	
7.350000e+03	0.000000e+00	0.000000e+00	
7.450000e+03	0.000000e+00	0.000000e+00	
7.550000e+03	0.000000e+00	0.000000e+00	
7.650000e+03	0.000000e+00	0.000000e+00	
7.750000e+03	0.000000e+00	0.000000e+00	
7.850000e+03	0.000000e+00	0.000000e+00	
7.950000e+03	0.000000e+00	0.000000e+00	
8.050000e+03	0.000000e+00	0.000000e+00	
8.150000e+03	0.000000e+00	0.000000e+00	
8.250000e+03	0.000000e+00	0.000000e+00	
8.350000e+03	0.000000e+00	0.000000e+00	
8.450000e+03	0.000000e+00	0.000000e+00	
8.550000e+03	0.000000e+00	0.000000e+00	
8.650000e+03	0.000000e+00	0.000000e+00	
8.750000e+03	0.000000e+00	0.000000e+00	
8.850000e+03	0.000000e+00	0.000000e+00	
8.950000e+03	0.000000e+00	0.000000e+00	
9.050000e+03	0.000000e+00	0.000000e+00	
9.150000e+03	0.000000e+00	0.000000e+00	
9.250000e+03	0.000000e+00	0.000000e+00	
9.350000e+03	0.000000e+00	0.000000e+00	
9.450000e+03	0.000000e+00	0.000000e+00	
9.550000e+03	0.000000e+00	0.000000e+00	
9.650000e+03	0.000000e+00	0.000000e+00	
9.750000e+03	0.000000e+00	0.000000e+00	
9.850000e+03	0.000000e+00	0.000000e+00	
9.950000e+03	0.000000e+00	0.000000e+00	
