% Depth (A)	Conc. (cm-3)
5.000000e+01	6.000000e+03
1.500000e+02	2.450000e+04
2.500000e+02	4.600000e+04
3.500000e+02	7.130000e+04
4.500000e+02	1.105000e+05
5.500000e+02	1.272000e+05
6.500000e+02	1.385000e+05
7.500000e+02	1.289000e+05
8.500000e+02	1.070000e+05
9.500000e+02	8.140000e+04
1.050000e+03	5.640000e+04
1.150000e+03	3.590000e+04
1.250000e+03	2.010000e+04
1.350000e+03	1.420000e+04
1.450000e+03	8.600000e+03
1.550000e+03	6.100000e+03
1.650000e+03	4.200000e+03
1.750000e+03	2.900000e+03
1.850000e+03	2.900000e+03
1.950000e+03	1.600000e+03
2.050000e+03	1.300000e+03
2.150000e+03	8.000000e+02
2.250000e+03	5.000000e+02
2.350000e+03	7.000000e+02
2.450000e+03	3.000000e+02
2.550000e+03	1.000000e+02
2.650000e+03	5.000000e+02
2.750000e+03	3.000000e+02
2.850000e+03	2.000000e+02
2.950000e+03	2.000000e+02
3.050000e+03	0.000000e+00
3.150000e+03	1.000000e+02
3.250000e+03	1.000000e+02
3.350000e+03	0.000000e+00
3.450000e+03	0.000000e+00
3.550000e+03	0.000000e+00
3.650000e+03	0.000000e+00
3.750000e+03	1.000000e+02
3.850000e+03	0.000000e+00
3.950000e+03	1.000000e+02
4.050000e+03	0.000000e+00
4.150000e+03	0.000000e+00
4.250000e+03	0.000000e+00
4.350000e+03	0.000000e+00
4.450000e+03	0.000000e+00
4.550000e+03	0.000000e+00
4.650000e+03	0.000000e+00
4.750000e+03	0.000000e+00
4.850000e+03	0.000000e+00
4.950000e+03	0.000000e+00
5.050000e+03	0.000000e+00
5.150000e+03	0.000000e+00
5.250000e+03	0.000000e+00
5.350000e+03	0.000000e+00
5.450000e+03	0.000000e+00
5.550000e+03	0.000000e+00
5.650000e+03	0.000000e+00
5.750000e+03	0.000000e+00
5.850000e+03	0.000000e+00
5.950000e+03	0.000000e+00
6.050000e+03	0.000000e+00
6.150000e+03	0.000000e+00
6.250000e+03	0.000000e+00
6.350000e+03	0.000000e+00
6.450000e+03	0.000000e+00
6.550000e+03	0.000000e+00
6.650000e+03	0.000000e+00
6.750000e+03	0.000000e+00
6.850000e+03	0.000000e+00
6.950000e+03	0.000000e+00
7.050000e+03	0.000000e+00
7.150000e+03	0.000000e+00
7.250000e+03	0.000000e+00
7.350000e+03	0.000000e+00
7.450000e+03	0.000000e+00
7.550000e+03	0.000000e+00
7.650000e+03	0.000000e+00
7.750000e+03	0.000000e+00
7.850000e+03	0.000000e+00
7.950000e+03	0.000000e+00
8.050000e+03	0.000000e+00
8.150000e+03	0.000000e+00
8.250000e+03	0.000000e+00
8.350000e+03	0.000000e+00
8.450000e+03	0.000000e+00
8.550000e+03	0.000000e+00
8.650000e+03	0.000000e+00
8.750000e+03	0.000000e+00
8.850000e+03	0.000000e+00
8.950000e+03	0.000000e+00
9.050000e+03	0.000000e+00
9.150000e+03	0.000000e+00
9.250000e+03	0.000000e+00
9.350000e+03	0.000000e+00
9.450000e+03	0.000000e+00
9.550000e+03	0.000000e+00
9.650000e+03	0.000000e+00
9.750000e+03	0.000000e+00
9.850000e+03	0.000000e+00
9.950000e+03	0.000000e+00
