% Depth (A)	Q (keV/Å/cm2)	T (keV/A/cm2)
5.000000e+01	3.165298e-02	4.502086e-02
1.500000e+02	2.983383e-02	5.029488e-02
2.500000e+02	2.749731e-02	5.193322e-02
3.500000e+02	2.440232e-02	5.348627e-02
4.500000e+02	2.050322e-02	5.113626e-02
5.500000e+02	1.627707e-02	4.496209e-02
6.500000e+02	1.210586e-02	3.639061e-02
7.500000e+02	8.443237e-03	2.694294e-02
8.500000e+02	5.658767e-03	1.890213e-02
9.500000e+02	3.621560e-03	1.282825e-02
1.050000e+03	2.240254e-03	7.604205e-03
1.150000e+03	1.407216e-03	4.846311e-03
1.250000e+03	9.034969e-04	2.747769e-03
1.350000e+03	6.142700e-04	1.929191e-03
1.450000e+03	4.164950e-04	1.223639e-03
1.550000e+03	2.989656e-04	8.847119e-04
1.650000e+03	2.076614e-04	6.021890e-04
1.750000e+03	1.487838e-04	3.823706e-04
1.850000e+03	1.095582e-04	2.935584e-04
1.950000e+03	8.440062e-05	2.567822e-04
2.050000e+03	5.650140e-05	1.311054e-04
2.150000e+03	4.424809e-05	1.180449e-04
2.250000e+03	3.287989e-05	5.675563e-05
2.350000e+03	2.956663e-05	9.587637e-05
2.450000e+03	1.822509e-05	3.109253e-05
2.550000e+03	1.710017e-05	2.378672e-05
2.650000e+03	1.497540e-05	6.008885e-05
2.750000e+03	9.042256e-06	2.928619e-05
2.850000e+03	6.517301e-06	1.779566e-05
2.950000e+03	4.941418e-06	1.515905e-05
3.050000e+03	3.330076e-06	2.821464e-06
3.150000e+03	4.353256e-06	1.337929e-05
3.250000e+03	2.011365e-06	5.737429e-06
3.350000e+03	1.449889e-06	2.103797e-07
3.450000e+03	1.588798e-06	2.817711e-07
3.550000e+03	1.842135e-06	1.105598e-06
3.650000e+03	2.982695e-06	6.680896e-06
3.750000e+03	1.713323e-06	7.440202e-06
3.850000e+03	1.933682e-06	5.189589e-06
3.950000e+03	1.263858e-06	7.890003e-06
4.050000e+03	0.000000e+00	0.000000e+00
4.150000e+03	0.000000e+00	0.000000e+00
4.250000e+03	0.000000e+00	0.000000e+00
4.350000e+03	0.000000e+00	0.000000e+00
4.450000e+03	0.000000e+00	0.000000e+00
4.550000e+03	0.000000e+00	0.000000e+00
4.650000e+03	0.000000e+00	0.000000e+00
4.750000e+03	0.000000e+00	0.000000e+00
4.850000e+03	0.000000e+00	0.000000e+00
4.950000e+03	0.000000e+00	0.000000e+00
5.050000e+03	0.000000e+00	0.000000e+00
5.150000e+03	0.000000e+00	0.000000e+00
5.250000e+03	0.000000e+00	0.000000e+00
5.350000e+03	0.000000e+00	0.000000e+00
5.450000e+03	0.000000e+00	0.000000e+00
5.550000e+03	0.000000e+00	0.000000e+00
5.650000e+03	0.000000e+00	0.000000e+00
5.750000e+03	0.000000e+00	0.000000e+00
5.850000e+03	0.000000e+00	0.000000e+00
5.950000e+03	0.000000e+00	0.000000e+00
6.050000e+03	0.000000e+00	0.000000e+00
6.150000e+03	0.000000e+00	0.000000e+00
6.250000e+03	0.000000e+00	0.000000e+00
6.350000e+03	0.000000e+00	0.000000e+00
6.450000e+03	0.000000e+00	0.000000e+00
6.550000e+03	0.000000e+00	0.000000e+00
6.650000e+03	0.000000e+00	0.000000e+00
6.750000e+03	0.000000e+00	0.000000e+00
6.850000e+03	0.000000e+00	0.000000e+00
6.950000e+03	0.000000e+00	0.000000e+00
7.050000e+03	0.000000e+00	0.000000e+00
7.150000e+03	0.000000e+00	0.000000e+00
7.250000e+03	0.000000e+00	0.000000e+00
7.350000e+03	0.000000e+00	0.000000e+00
7.450000e+03	0.000000e+00	0.000000e+00
7.550000e+03	0.000000e+00	0.000000e+00
7.650000e+03	0.000000e+00	0.000000e+00
7.750000e+03	0.000000e+00	0.000000e+00
7.850000e+03	0.000000e+00	0.000000e+00
7.950000e+03	0.000000e+00	0.000000e+00
8.050000e+03	0.000000e+00	0.000000e+00
8.150000e+03	0.000000e+00	0.000000e+00
8.250000e+03	0.000000e+00	0.000000e+00
8.350000e+03	0.000000e+00	0.000000e+00
8.450000e+03	0.000000e+00	0.000000e+00
8.550000e+03	0.000000e+00	0.000000e+00
8.650000e+03	0.000000e+00	0.000000e+00
8.750000e+03	0.000000e+00	0.000000e+00
8.850000e+03	0.000000e+00	0.000000e+00
8.950000e+03	0.000000e+00	0.000000e+00
9.050000e+03	0.000000e+00	0.000000e+00
9.150000e+03	0.000000e+00	0.000000e+00
9.250000e+03	0.000000e+00	0.000000e+00
9.350000e+03	0.000000e+00	0.000000e+00
9.450000e+03	0.000000e+00	0.000000e+00
9.550000e+03	0.000000e+00	0.000000e+00
9.650000e+03	0.000000e+00	0.000000e+00
9.750000e+03	0.000000e+00	0.000000e+00
9.850000e+03	0.000000e+00	0.000000e+00
9.950000e+03	0.000000e+00	0.000000e+00
