% Depth (A)	I1 (cm^-3)	I2 (cm^-3)	...
5.000000e+01	2.392594e+21	1.642987e+21	
1.500000e+02	3.452310e+21	2.368612e+21	
2.500000e+02	4.145045e+21	2.843817e+21	
3.500000e+02	4.532211e+21	3.105465e+21	
4.500000e+02	4.570001e+21	3.129176e+21	
5.500000e+02	4.207938e+21	2.882917e+21	
6.500000e+02	3.587052e+21	2.454327e+21	
7.500000e+02	2.779046e+21	1.903468e+21	
8.500000e+02	2.012647e+21	1.375726e+21	
9.500000e+02	1.373352e+21	9.394790e+20	
1.050000e+03	8.977200e+20	6.116750e+20	
1.150000e+03	5.711190e+20	3.904080e+20	
1.250000e+03	3.634400e+20	2.478940e+20	
1.350000e+03	2.314330e+20	1.577540e+20	
1.450000e+03	1.494860e+20	1.015180e+20	
1.550000e+03	9.494100e+19	6.476200e+19	
1.650000e+03	6.126400e+19	4.182400e+19	
1.750000e+03	4.103900e+19	2.796600e+19	
1.850000e+03	2.745600e+19	1.875500e+19	
1.950000e+03	1.767800e+19	1.193200e+19	
2.050000e+03	1.253000e+19	8.397000e+18	
2.150000e+03	9.120000e+18	6.322000e+18	
2.250000e+03	6.313000e+18	4.296000e+18	
2.350000e+03	5.002000e+18	3.312000e+18	
2.450000e+03	3.102000e+18	2.134000e+18	
2.550000e+03	2.905000e+18	2.022000e+18	
2.650000e+03	2.486000e+18	1.685000e+18	
2.750000e+03	1.495000e+18	1.032000e+18	
2.850000e+03	1.197000e+18	7.710000e+17	
2.950000e+03	1.335000e+18	9.200000e+17	
3.050000e+03	1.124000e+18	7.600000e+17	
3.150000e+03	1.182000e+18	7.740000e+17	
3.250000e+03	7.890000e+17	5.440000e+17	
3.350000e+03	4.600000e+17	3.340000e+17	
3.450000e+03	3.850000e+17	2.520000e+17	
3.550000e+03	1.590000e+17	9.700000e+16	
3.650000e+03	1.990000e+17	1.550000e+17	
3.750000e+03	1.130000e+17	7.200000e+16	
3.850000e+03	5.900000e+16	4.700000e+16	
3.950000e+03	8.700000e+16	8.200000e+16	
4.050000e+03	1.430000e+17	8.800000e+16	
4.150000e+03	2.080000e+17	1.420000e+17	
4.250000e+03	7.700000e+16	4.600000e+16	
4.350000e+03	1.200000e+16	2.000000e+15	
4.450000e+03	4.400000e+16	3.600000e+16	
4.550000e+03	8.600000e+16	6.400000e+16	
4.650000e+03	1.290000e+17	6.300000e+16	
4.750000e+03	1.480000e+17	1.010000e+17	
4.850000e+03	1.240000e+17	8.800000e+16	
4.950000e+03	7.000000e+15	2.000000e+15	
5.050000e+03	2.700000e+16	1.700000e+16	
5.150000e+03	6.000000e+15	6.000000e+15	
5.250000e+03	0.000000e+00	0.000000e+00	
5.350000e+03	4.000000e+16	2.300000e+16	
5.450000e+03	5.400000e+16	3.300000e+16	
5.550000e+03	0.000000e+00	0.000000e+00	
5.650000e+03	1.000000e+15	0.000000e+00	
5.750000e+03	1.900000e+16	1.200000e+16	
5.850000e+03	4.600000e+16	2.800000e+16	
5.950000e+03	1.200000e+16	1.300000e+16	
6.050000e+03	8.000000e+15	6.000000e+15	
6.150000e+03	0.000000e+00	0.000000e+00	
6.250000e+03	3.000000e+15	1.000000e+15	
6.350000e+03	3.600000e+16	2.200000e+16	
6.450000e+03	1.700000e+16	9.000000e+15	
6.550000e+03	2.000000e+16	1.300000e+16	
6.650000e+03	2.100000e+16	1.600000e+16	
6.750000e+03	3.000000e+15	0.000000e+00	
6.850000e+03	1.300000e+16	7.000000e+15	
6.950000e+03	3.100000e+16	2.200000e+16	
7.050000e+03	2.800000e+16	7.000000e+15	
7.150000e+03	2.100000e+16	2.000000e+16	
7.250000e+03	0.000000e+00	0.000000e+00	
7.350000e+03	0.000000e+00	0.000000e+00	
7.450000e+03	2.100000e+16	1.100000e+16	
7.550000e+03	0.000000e+00	0.000000e+00	
7.650000e+03	0.000000e+00	0.000000e+00	
7.750000e+03	0.000000e+00	0.000000e+00	
7.850000e+03	0.000000e+00	0.000000e+00	
7.950000e+03	0.000000e+00	0.000000e+00	
8.050000e+03	1.000000e+15	1.000000e+15	
8.150000e+03	4.700000e+16	2.500000e+16	
8.250000e+03	3.100000e+16	2.200000e+16	
8.350000e+03	0.000000e+00	0.000000e+00	
8.450000e+03	0.000000e+00	0.000000e+00	
8.550000e+03	0.000000e+00	0.000000e+00	
8.650000e+03	0.000000e+00	0.000000e+00	
8.750000e+03	0.000000e+00	0.000000e+00	
8.850000e+03	0.000000e+00	0.000000e+00	
8.950000e+03	0.000000e+00	0.000000e+00	
9.050000e+03	0.000000e+00	0.000000e+00	
9.150000e+03	0.000000e+00	0.000000e+00	
9.250000e+03	0.000000e+00	0.000000e+00	
9.350000e+03	0.000000e+00	0.000000e+00	
9.450000e+03	0.000000e+00	0.000000e+00	
9.550000e+03	0.000000e+00	0.000000e+00	
9.650000e+03	0.000000e+00	0.000000e+00	
9.750000e+03	0.000000e+00	0.000000e+00	
9.850000e+03	0.000000e+00	0.000000e+00	
9.950000e+03	0.000000e+00	0.000000e+00	
