% Depth (A)	V1 (cm^-3)	V2 (cm^-3)	...
5.000000e+01	2.435761e+21	1.680565e+21	
1.500000e+02	3.463540e+21	2.378934e+21	
2.500000e+02	4.153590e+21	2.852246e+21	
3.500000e+02	4.539499e+21	3.109174e+21	
4.500000e+02	4.573537e+21	3.130782e+21	
5.500000e+02	4.206413e+21	2.880674e+21	
6.500000e+02	3.583067e+21	2.447987e+21	
7.500000e+02	2.770949e+21	1.895458e+21	
8.500000e+02	2.004377e+21	1.368288e+21	
9.500000e+02	1.366360e+21	9.333370e+20	
1.050000e+03	8.917510e+20	6.068470e+20	
1.150000e+03	5.675620e+20	3.871710e+20	
1.250000e+03	3.608190e+20	2.458870e+20	
1.350000e+03	2.297790e+20	1.564210e+20	
1.450000e+03	1.485840e+20	1.009880e+20	
1.550000e+03	9.437200e+19	6.408200e+19	
1.650000e+03	6.077800e+19	4.148700e+19	
1.750000e+03	4.076400e+19	2.779200e+19	
1.850000e+03	2.722800e+19	1.855500e+19	
1.950000e+03	1.762700e+19	1.187700e+19	
2.050000e+03	1.248000e+19	8.390000e+18	
2.150000e+03	9.015000e+18	6.232000e+18	
2.250000e+03	6.325000e+18	4.269000e+18	
2.350000e+03	4.947000e+18	3.307000e+18	
2.450000e+03	3.111000e+18	2.109000e+18	
2.550000e+03	2.922000e+18	2.070000e+18	
2.650000e+03	2.468000e+18	1.645000e+18	
2.750000e+03	1.473000e+18	1.010000e+18	
2.850000e+03	1.200000e+18	7.710000e+17	
2.950000e+03	1.330000e+18	9.280000e+17	
3.050000e+03	1.124000e+18	7.590000e+17	
3.150000e+03	1.162000e+18	7.720000e+17	
3.250000e+03	7.950000e+17	5.450000e+17	
3.350000e+03	4.640000e+17	3.380000e+17	
3.450000e+03	3.800000e+17	2.390000e+17	
3.550000e+03	1.550000e+17	9.500000e+16	
3.650000e+03	2.070000e+17	1.610000e+17	
3.750000e+03	1.090000e+17	6.800000e+16	
3.850000e+03	5.800000e+16	4.500000e+16	
3.950000e+03	9.600000e+16	8.300000e+16	
4.050000e+03	1.330000e+17	9.600000e+16	
4.150000e+03	2.080000e+17	1.350000e+17	
4.250000e+03	7.700000e+16	4.400000e+16	
4.350000e+03	1.300000e+16	2.000000e+15	
4.450000e+03	4.500000e+16	3.600000e+16	
4.550000e+03	8.400000e+16	6.400000e+16	
4.650000e+03	1.320000e+17	6.400000e+16	
4.750000e+03	1.520000e+17	1.000000e+17	
4.850000e+03	1.180000e+17	8.800000e+16	
4.950000e+03	6.000000e+15	2.000000e+15	
5.050000e+03	3.000000e+16	2.000000e+16	
5.150000e+03	3.000000e+15	3.000000e+15	
5.250000e+03	0.000000e+00	0.000000e+00	
5.350000e+03	4.300000e+16	2.300000e+16	
5.450000e+03	5.100000e+16	3.300000e+16	
5.550000e+03	0.000000e+00	0.000000e+00	
5.650000e+03	1.000000e+15	0.000000e+00	
5.750000e+03	2.100000e+16	1.300000e+16	
5.850000e+03	4.400000e+16	2.700000e+16	
5.950000e+03	1.200000e+16	1.300000e+16	
6.050000e+03	8.000000e+15	6.000000e+15	
6.150000e+03	0.000000e+00	0.000000e+00	
6.250000e+03	3.000000e+15	1.000000e+15	
6.350000e+03	3.900000e+16	2.400000e+16	
6.450000e+03	1.400000e+16	7.000000e+15	
6.550000e+03	2.200000e+16	1.300000e+16	
6.650000e+03	1.900000e+16	1.600000e+16	
6.750000e+03	3.000000e+15	0.000000e+00	
6.850000e+03	1.500000e+16	7.000000e+15	
6.950000e+03	2.900000e+16	2.200000e+16	
7.050000e+03	2.600000e+16	1.000000e+16	
7.150000e+03	2.300000e+16	1.700000e+16	
7.250000e+03	0.000000e+00	0.000000e+00	
7.350000e+03	0.000000e+00	0.000000e+00	
7.450000e+03	2.100000e+16	1.100000e+16	
7.550000e+03	0.000000e+00	0.000000e+00	
7.650000e+03	0.000000e+00	0.000000e+00	
7.750000e+03	0.000000e+00	0.000000e+00	
7.850000e+03	0.000000e+00	0.000000e+00	
7.950000e+03	0.000000e+00	0.000000e+00	
8.050000e+03	1.000000e+15	1.000000e+15	
8.150000e+03	4.800000e+16	2.700000e+16	
8.250000e+03	3.000000e+16	2.000000e+16	
8.350000e+03	0.000000e+00	0.000000e+00	
8.450000e+03	0.000000e+00	0.000000e+00	
8.550000e+03	0.000000e+00	0.000000e+00	
8.650000e+03	0.000000e+00	0.000000e+00	
8.750000e+03	0.000000e+00	0.000000e+00	
8.850000e+03	0.000000e+00	0.000000e+00	
8.950000e+03	0.000000e+00	0.000000e+00	
9.050000e+03	0.000000e+00	0.000000e+00	
9.150000e+03	0.000000e+00	0.000000e+00	
9.250000e+03	0.000000e+00	0.000000e+00	
9.350000e+03	0.000000e+00	0.000000e+00	
9.450000e+03	0.000000e+00	0.000000e+00	
9.550000e+03	0.000000e+00	0.000000e+00	
9.650000e+03	0.000000e+00	0.000000e+00	
9.750000e+03	0.000000e+00	0.000000e+00	
9.850000e+03	0.000000e+00	0.000000e+00	
9.950000e+03	0.000000e+00	0.000000e+00	
