% Depth (A)	Conc. (cm-3)
5.000000e+01	7.290000e+17
1.500000e+02	2.191000e+18
2.500000e+02	4.615000e+18
3.500000e+02	7.622000e+18
4.500000e+02	1.074100e+19
5.500000e+02	1.307000e+19
6.500000e+02	1.377300e+19
7.500000e+02	1.256600e+19
8.500000e+02	1.047100e+19
9.500000e+02	7.802000e+18
1.050000e+03	5.539000e+18
1.150000e+03	3.621000e+18
1.250000e+03	2.396000e+18
1.350000e+03	1.545000e+18
1.450000e+03	1.072000e+18
1.550000e+03	6.740000e+17
1.650000e+03	4.390000e+17
1.750000e+03	3.050000e+17
1.850000e+03	2.070000e+17
1.950000e+03	1.280000e+17
2.050000e+03	1.050000e+17
2.150000e+03	7.700000e+16
2.250000e+03	5.000000e+16
2.350000e+03	5.100000e+16
2.450000e+03	1.900000e+16
2.550000e+03	3.000000e+16
2.650000e+03	1.700000e+16
2.750000e+03	1.400000e+16
2.850000e+03	1.100000e+16
2.950000e+03	8.000000e+15
3.050000e+03	1.100000e+16
3.150000e+03	1.200000e+16
3.250000e+03	7.000000e+15
3.350000e+03	6.000000e+15
3.450000e+03	3.000000e+15
3.550000e+03	2.000000e+15
3.650000e+03	3.000000e+15
3.750000e+03	2.000000e+15
3.850000e+03	1.000000e+15
3.950000e+03	1.000000e+15
4.050000e+03	1.000000e+15
4.150000e+03	1.000000e+15
4.250000e+03	2.000000e+15
4.350000e+03	0.000000e+00
4.450000e+03	0.000000e+00
4.550000e+03	1.000000e+15
4.650000e+03	2.000000e+15
4.750000e+03	1.000000e+15
4.850000e+03	3.000000e+15
4.950000e+03	0.000000e+00
5.050000e+03	1.000000e+15
5.150000e+03	0.000000e+00
5.250000e+03	0.000000e+00
5.350000e+03	0.000000e+00
5.450000e+03	2.000000e+15
5.550000e+03	0.000000e+00
5.650000e+03	0.000000e+00
5.750000e+03	1.000000e+15
5.850000e+03	1.000000e+15
5.950000e+03	0.000000e+00
6.050000e+03	1.000000e+15
6.150000e+03	0.000000e+00
6.250000e+03	0.000000e+00
6.350000e+03	1.000000e+15
6.450000e+03	0.000000e+00
6.550000e+03	0.000000e+00
6.650000e+03	1.000000e+15
6.750000e+03	0.000000e+00
6.850000e+03	0.000000e+00
6.950000e+03	1.000000e+15
7.050000e+03	0.000000e+00
7.150000e+03	1.000000e+15
7.250000e+03	0.000000e+00
7.350000e+03	0.000000e+00
7.450000e+03	1.000000e+15
7.550000e+03	0.000000e+00
7.650000e+03	0.000000e+00
7.750000e+03	0.000000e+00
7.850000e+03	0.000000e+00
7.950000e+03	0.000000e+00
8.050000e+03	0.000000e+00
8.150000e+03	0.000000e+00
8.250000e+03	1.000000e+15
8.350000e+03	0.000000e+00
8.450000e+03	0.000000e+00
8.550000e+03	0.000000e+00
8.650000e+03	0.000000e+00
8.750000e+03	0.000000e+00
8.850000e+03	0.000000e+00
8.950000e+03	0.000000e+00
9.050000e+03	0.000000e+00
9.150000e+03	0.000000e+00
9.250000e+03	0.000000e+00
9.350000e+03	0.000000e+00
9.450000e+03	0.000000e+00
9.550000e+03	0.000000e+00
9.650000e+03	0.000000e+00
9.750000e+03	0.000000e+00
9.850000e+03	0.000000e+00
9.950000e+03	0.000000e+00
