% Depth (A)	Q (keV/Å/cm2)	T (keV/A/cm2)
5.000000e+01	4.079234e+12	1.821691e+12
1.500000e+02	4.432748e+12	2.624286e+12
2.500000e+02	4.516447e+12	3.149601e+12
3.500000e+02	4.337929e+12	3.438826e+12
4.500000e+02	3.924413e+12	3.463656e+12
5.500000e+02	3.309733e+12	3.187418e+12
6.500000e+02	2.613352e+12	2.714042e+12
7.500000e+02	1.921304e+12	2.101623e+12
8.500000e+02	1.334377e+12	1.519322e+12
9.500000e+02	8.876995e+11	1.036293e+12
1.050000e+03	5.710665e+11	6.767753e+11
1.150000e+03	3.619259e+11	4.305817e+11
1.250000e+03	2.296916e+11	2.740476e+11
1.350000e+03	1.461939e+11	1.741463e+11
1.450000e+03	9.426956e+10	1.127355e+11
1.550000e+03	6.019496e+10	7.157025e+10
1.650000e+03	3.938943e+10	4.631907e+10
1.750000e+03	2.661413e+10	3.096635e+10
1.850000e+03	1.783055e+10	2.077361e+10
1.950000e+03	1.184416e+10	1.326458e+10
2.050000e+03	8.580222e+09	9.489353e+09
2.150000e+03	6.198652e+09	6.925591e+09
2.250000e+03	4.581768e+09	4.852007e+09
2.350000e+03	3.512884e+09	3.798949e+09
2.450000e+03	2.520530e+09	2.395410e+09
2.550000e+03	2.198472e+09	2.213724e+09
2.650000e+03	1.780846e+09	1.883778e+09
2.750000e+03	1.234404e+09	1.170275e+09
2.850000e+03	1.063453e+09	8.939890e+08
2.950000e+03	1.041462e+09	1.036641e+09
3.050000e+03	8.798093e+08	8.549065e+08
3.150000e+03	7.573034e+08	8.776966e+08
3.250000e+03	5.281633e+08	6.030789e+08
3.350000e+03	3.575682e+08	3.611529e+08
3.450000e+03	2.795920e+08	2.924937e+08
3.550000e+03	1.944522e+08	1.234543e+08
3.650000e+03	1.952320e+08	1.778726e+08
3.750000e+03	1.440509e+08	8.773126e+07
3.850000e+03	1.160788e+08	5.069056e+07
3.950000e+03	1.536401e+08	8.680042e+07
4.050000e+03	1.482219e+08	1.109335e+08
4.150000e+03	1.604000e+08	1.649982e+08
4.250000e+03	8.504187e+07	6.042044e+07
4.350000e+03	6.432831e+07	1.355014e+07
4.450000e+03	8.268188e+07	4.167768e+07
4.550000e+03	9.025727e+07	7.560103e+07
4.650000e+03	9.872008e+07	8.662378e+07
4.750000e+03	9.896146e+07	1.163681e+08
4.850000e+03	7.528933e+07	9.927957e+07
4.950000e+03	3.236761e+07	9.971237e+06
5.050000e+03	3.775330e+07	2.403432e+07
5.150000e+03	2.894638e+07	9.306109e+06
5.250000e+03	2.864738e+07	5.813986e+06
5.350000e+03	4.274673e+07	3.389572e+07
5.450000e+03	3.927066e+07	5.015743e+07
5.550000e+03	2.087774e+07	4.629678e+06
5.650000e+03	2.103294e+07	5.763838e+06
5.750000e+03	2.730123e+07	1.822416e+07
5.850000e+03	3.320689e+07	3.870721e+07
5.950000e+03	2.023900e+07	1.490915e+07
6.050000e+03	1.689990e+07	8.226003e+06
6.150000e+03	1.533093e+07	3.320078e+06
6.250000e+03	1.555542e+07	5.300242e+06
6.350000e+03	2.815469e+07	3.582566e+07
6.450000e+03	1.394583e+07	1.288783e+07
6.550000e+03	1.925152e+07	1.720660e+07
6.650000e+03	1.588012e+07	1.924457e+07
6.750000e+03	9.950063e+06	3.577230e+06
6.850000e+03	1.481056e+07	1.093135e+07
6.950000e+03	1.627398e+07	2.385541e+07
7.050000e+03	1.463828e+07	1.489333e+07
7.150000e+03	8.821202e+06	1.780976e+07
7.250000e+03	4.046846e+06	1.311432e+06
7.350000e+03	3.558180e+06	1.345759e+06
7.450000e+03	7.768258e+06	1.403887e+07
7.550000e+03	2.881694e+06	4.214162e+05
7.650000e+03	2.714002e+06	4.200700e+05
7.750000e+03	2.834093e+06	5.761790e+05
7.850000e+03	2.539000e+06	4.104613e+05
7.950000e+03	2.789878e+06	5.512193e+05
8.050000e+03	3.120541e+06	1.145391e+06
8.150000e+03	1.865022e+07	2.673352e+07
8.250000e+03	8.374986e+06	2.204215e+07
8.350000e+03	0.000000e+00	0.000000e+00
8.450000e+03	0.000000e+00	0.000000e+00
8.550000e+03	0.000000e+00	0.000000e+00
8.650000e+03	0.000000e+00	0.000000e+00
8.750000e+03	0.000000e+00	0.000000e+00
8.850000e+03	0.000000e+00	0.000000e+00
8.950000e+03	0.000000e+00	0.000000e+00
9.050000e+03	0.000000e+00	0.000000e+00
9.150000e+03	0.000000e+00	0.000000e+00
9.250000e+03	0.000000e+00	0.000000e+00
9.350000e+03	0.000000e+00	0.000000e+00
9.450000e+03	0.000000e+00	0.000000e+00
9.550000e+03	0.000000e+00	0.000000e+00
9.650000e+03	0.000000e+00	0.000000e+00
9.750000e+03	0.000000e+00	0.000000e+00
9.850000e+03	0.000000e+00	0.000000e+00
9.950000e+03	0.000000e+00	0.000000e+00
