% Depth (A)	V1 (cm^-3)	V2 (cm^-3)	...
5.000000e+01	2.003898e+22	1.431562e+22	
1.500000e+02	5.526481e+21	2.015770e+22	
2.500000e+02	1.535879e+22	1.701363e+22	
3.500000e+02	1.009779e+22	1.160719e+22	
4.500000e+02	1.978445e+22	1.413419e+22	
5.500000e+02	1.117303e+22	8.526941e+21	
6.500000e+02	1.498700e+22	1.629474e+22	
7.500000e+02	1.359981e+22	1.991745e+22	
8.500000e+02	2.149463e+22	1.245015e+22	
9.500000e+02	1.087137e+22	1.534393e+22	
1.050000e+03	2.351802e+22	1.538076e+22	
1.150000e+03	1.024855e+22	1.046066e+22	
1.250000e+03	9.184969e+21	1.455111e+22	
1.350000e+03	1.007377e+22	9.691014e+21	
1.450000e+03	1.307621e+22	1.006202e+22	
1.550000e+03	1.356434e+22	1.617573e+22	
1.650000e+03	1.138128e+22	7.385325e+21	
1.750000e+03	7.466532e+21	6.719969e+21	
1.850000e+03	5.506964e+21	5.755315e+21	
1.950000e+03	3.486378e+21	3.679831e+21	
2.050000e+03	2.319650e+21	2.665641e+21	
2.150000e+03	3.668068e+20	4.907342e+20	
2.250000e+03	5.779889e+20	1.911850e+20	
2.350000e+03	3.478046e+19	1.991083e+20	
2.450000e+03	0.000000e+00	0.000000e+00	
2.550000e+03	0.000000e+00	0.000000e+00	
2.650000e+03	0.000000e+00	0.000000e+00	
2.750000e+03	0.000000e+00	0.000000e+00	
2.850000e+03	0.000000e+00	0.000000e+00	
2.950000e+03	0.000000e+00	0.000000e+00	
3.050000e+03	0.000000e+00	0.000000e+00	
3.150000e+03	0.000000e+00	0.000000e+00	
3.250000e+03	0.000000e+00	0.000000e+00	
3.350000e+03	0.000000e+00	0.000000e+00	
3.450000e+03	0.000000e+00	0.000000e+00	
3.550000e+03	0.000000e+00	0.000000e+00	
3.650000e+03	0.000000e+00	0.000000e+00	
3.750000e+03	0.000000e+00	0.000000e+00	
3.850000e+03	0.000000e+00	0.000000e+00	
3.950000e+03	0.000000e+00	0.000000e+00	
4.050000e+03	0.000000e+00	0.000000e+00	
4.150000e+03	0.000000e+00	0.000000e+00	
4.250000e+03	0.000000e+00	0.000000e+00	
4.350000e+03	0.000000e+00	0.000000e+00	
4.450000e+03	0.000000e+00	0.000000e+00	
4.550000e+03	0.000000e+00	0.000000e+00	
4.650000e+03	0.000000e+00	0.000000e+00	
4.750000e+03	0.000000e+00	0.000000e+00	
4.850000e+03	0.000000e+00	0.000000e+00	
4.950000e+03	0.000000e+00	0.000000e+00	
