% Depth (A)	Conc. (cm-3)
5.000000e+01	0.000000e+00
1.500000e+02	5.000000e+18
2.500000e+02	0.000000e+00
3.500000e+02	0.000000e+00
4.500000e+02	5.000000e+18
5.500000e+02	1.500000e+19
6.500000e+02	1.000000e+19
7.500000e+02	3.500000e+19
8.500000e+02	5.000000e+18
9.500000e+02	2.500000e+19
1.050000e+03	2.000000e+19
1.150000e+03	3.500000e+19
1.250000e+03	4.000000e+19
1.350000e+03	2.000000e+19
1.450000e+03	3.500000e+19
1.550000e+03	5.500000e+19
1.650000e+03	2.500000e+19
1.750000e+03	4.500000e+19
1.850000e+03	4.500000e+19
1.950000e+03	2.500000e+19
2.050000e+03	3.000000e+19
2.150000e+03	1.500000e+19
2.250000e+03	0.000000e+00
2.350000e+03	1.000000e+19
2.450000e+03	0.000000e+00
2.550000e+03	0.000000e+00
2.650000e+03	0.000000e+00
2.750000e+03	0.000000e+00
2.850000e+03	0.000000e+00
2.950000e+03	0.000000e+00
3.050000e+03	0.000000e+00
3.150000e+03	0.000000e+00
3.250000e+03	0.000000e+00
3.350000e+03	0.000000e+00
3.450000e+03	0.000000e+00
3.550000e+03	0.000000e+00
3.650000e+03	0.000000e+00
3.750000e+03	0.000000e+00
3.850000e+03	0.000000e+00
3.950000e+03	0.000000e+00
4.050000e+03	0.000000e+00
4.150000e+03	0.000000e+00
4.250000e+03	0.000000e+00
4.350000e+03	0.000000e+00
4.450000e+03	0.000000e+00
4.550000e+03	0.000000e+00
4.650000e+03	0.000000e+00
4.750000e+03	0.000000e+00
4.850000e+03	0.000000e+00
4.950000e+03	0.000000e+00
