% Depth (A)	NEP1 (Å-1)	NEP2 (Å-1)	...
5.000000e+01	2.523021e-01	3.233823e-01	
1.500000e+02	1.075702e-01	2.786008e-01	
2.500000e+02	2.723657e-01	3.329897e-01	
3.500000e+02	2.101761e-01	2.276546e-01	
4.500000e+02	2.648347e-01	2.570860e-01	
5.500000e+02	1.869823e-01	1.129302e-01	
6.500000e+02	1.797480e-01	2.339448e-01	
7.500000e+02	2.164749e-01	3.078845e-01	
8.500000e+02	2.802761e-01	1.446609e-01	
9.500000e+02	1.882322e-01	1.731171e-01	
1.050000e+03	2.902819e-01	2.245621e-01	
1.150000e+03	1.102987e-01	1.427054e-01	
1.250000e+03	1.469934e-01	2.061935e-01	
1.350000e+03	1.447736e-01	1.002437e-01	
1.450000e+03	2.163235e-01	1.317736e-01	
1.550000e+03	1.587956e-01	2.595539e-01	
1.650000e+03	1.575754e-01	7.566192e-02	
1.750000e+03	1.111331e-01	1.175356e-01	
1.850000e+03	6.273007e-02	6.398834e-02	
1.950000e+03	2.361559e-02	6.104019e-02	
2.050000e+03	2.241089e-02	7.481757e-02	
2.150000e+03	7.991289e-03	1.957747e-04	
2.250000e+03	5.119821e-03	4.196930e-06	
2.350000e+03	4.195120e-03	2.697916e-06	
2.450000e+03	0.000000e+00	0.000000e+00	
2.550000e+03	0.000000e+00	0.000000e+00	
2.650000e+03	0.000000e+00	0.000000e+00	
2.750000e+03	0.000000e+00	0.000000e+00	
2.850000e+03	0.000000e+00	0.000000e+00	
2.950000e+03	0.000000e+00	0.000000e+00	
3.050000e+03	0.000000e+00	0.000000e+00	
3.150000e+03	0.000000e+00	0.000000e+00	
3.250000e+03	0.000000e+00	0.000000e+00	
3.350000e+03	0.000000e+00	0.000000e+00	
3.450000e+03	0.000000e+00	0.000000e+00	
3.550000e+03	0.000000e+00	0.000000e+00	
3.650000e+03	0.000000e+00	0.000000e+00	
3.750000e+03	0.000000e+00	0.000000e+00	
3.850000e+03	0.000000e+00	0.000000e+00	
3.950000e+03	0.000000e+00	0.000000e+00	
4.050000e+03	0.000000e+00	0.000000e+00	
4.150000e+03	0.000000e+00	0.000000e+00	
4.250000e+03	0.000000e+00	0.000000e+00	
4.350000e+03	0.000000e+00	0.000000e+00	
4.450000e+03	0.000000e+00	0.000000e+00	
4.550000e+03	0.000000e+00	0.000000e+00	
4.650000e+03	0.000000e+00	0.000000e+00	
4.750000e+03	0.000000e+00	0.000000e+00	
4.850000e+03	0.000000e+00	0.000000e+00	
4.950000e+03	0.000000e+00	0.000000e+00	
