% Depth (A)	Q (keV/Å/cm2)	T (keV/A/cm2)
5.000000e+01	1.948000e+13	2.250857e+13
1.500000e+02	1.913466e+13	2.028269e+13
2.500000e+02	1.844067e+13	2.269212e+13
3.500000e+02	1.794245e+13	1.518265e+13
4.500000e+02	1.736565e+13	2.224303e+13
5.500000e+02	1.680161e+13	1.308603e+13
6.500000e+02	1.578940e+13	2.168700e+13
7.500000e+02	1.486738e+13	2.419355e+13
8.500000e+02	1.342062e+13	2.172227e+13
9.500000e+02	1.259448e+13	1.861724e+13
1.050000e+03	1.105253e+13	2.544876e+13
1.150000e+03	9.934394e+12	1.432006e+13
1.250000e+03	8.577061e+12	1.733129e+13
1.350000e+03	7.799706e+12	1.337783e+13
1.450000e+03	6.937754e+12	1.549066e+13
1.550000e+03	5.408225e+12	2.091515e+13
1.650000e+03	3.771455e+12	1.215052e+13
1.750000e+03	2.976298e+12	9.623110e+12
1.850000e+03	2.075089e+12	7.733334e+12
1.950000e+03	1.385350e+12	5.029129e+12
2.050000e+03	5.808210e+11	3.501324e+12
2.150000e+03	1.603382e+11	6.138787e+11
2.250000e+03	8.929933e+10	4.564345e+11
2.350000e+03	1.636206e+10	1.917639e+11
2.450000e+03	0.000000e+00	0.000000e+00
2.550000e+03	0.000000e+00	0.000000e+00
2.650000e+03	0.000000e+00	0.000000e+00
2.750000e+03	0.000000e+00	0.000000e+00
2.850000e+03	0.000000e+00	0.000000e+00
2.950000e+03	0.000000e+00	0.000000e+00
3.050000e+03	0.000000e+00	0.000000e+00
3.150000e+03	0.000000e+00	0.000000e+00
3.250000e+03	0.000000e+00	0.000000e+00
3.350000e+03	0.000000e+00	0.000000e+00
3.450000e+03	0.000000e+00	0.000000e+00
3.550000e+03	0.000000e+00	0.000000e+00
3.650000e+03	0.000000e+00	0.000000e+00
3.750000e+03	0.000000e+00	0.000000e+00
3.850000e+03	0.000000e+00	0.000000e+00
3.950000e+03	0.000000e+00	0.000000e+00
4.050000e+03	0.000000e+00	0.000000e+00
4.150000e+03	0.000000e+00	0.000000e+00
4.250000e+03	0.000000e+00	0.000000e+00
4.350000e+03	0.000000e+00	0.000000e+00
4.450000e+03	0.000000e+00	0.000000e+00
4.550000e+03	0.000000e+00	0.000000e+00
4.650000e+03	0.000000e+00	0.000000e+00
4.750000e+03	0.000000e+00	0.000000e+00
4.850000e+03	0.000000e+00	0.000000e+00
4.950000e+03	0.000000e+00	0.000000e+00
