% Depth (A)	I1 (cm^-3)	I2 (cm^-3)	...
5.000000e+01	2.829500e+19	2.009625e+19	
1.500000e+02	3.375000e+19	2.365125e+19	
2.500000e+02	4.489875e+19	3.111000e+19	
3.500000e+02	4.987375e+19	3.454000e+19	
4.500000e+02	5.697875e+19	3.939125e+19	
5.500000e+02	5.929750e+19	4.139750e+19	
6.500000e+02	5.360625e+19	3.734750e+19	
7.500000e+02	4.933875e+19	3.426750e+19	
8.500000e+02	4.789250e+19	3.272000e+19	
9.500000e+02	4.133750e+19	2.834000e+19	
1.050000e+03	3.626625e+19	2.517625e+19	
1.150000e+03	3.240625e+19	2.244125e+19	
1.250000e+03	2.885250e+19	1.983250e+19	
1.350000e+03	2.486125e+19	1.728000e+19	
1.450000e+03	2.324750e+19	1.621500e+19	
1.550000e+03	2.326750e+19	1.624625e+19	
1.650000e+03	2.136375e+19	1.487875e+19	
1.750000e+03	2.081250e+19	1.469375e+19	
1.850000e+03	1.729375e+19	1.192875e+19	
1.950000e+03	1.729875e+19	1.192000e+19	
2.050000e+03	1.673125e+19	1.168750e+19	
2.150000e+03	1.688500e+19	1.191125e+19	
2.250000e+03	1.695750e+19	1.197375e+19	
2.350000e+03	1.561000e+19	1.086125e+19	
2.450000e+03	1.472750e+19	1.037375e+19	
2.550000e+03	1.481125e+19	1.012750e+19	
2.650000e+03	1.239500e+19	8.658750e+18	
2.750000e+03	1.134750e+19	8.111250e+18	
2.850000e+03	1.236625e+19	8.577500e+18	
2.950000e+03	1.391125e+19	9.326250e+18	
3.050000e+03	1.151875e+19	8.096250e+18	
3.150000e+03	1.032125e+19	7.190000e+18	
3.250000e+03	8.920000e+18	6.212500e+18	
3.350000e+03	9.558750e+18	6.712500e+18	
3.450000e+03	8.668750e+18	6.068750e+18	
3.550000e+03	9.037500e+18	6.310000e+18	
3.650000e+03	7.670000e+18	5.251250e+18	
3.750000e+03	7.985000e+18	5.616250e+18	
3.850000e+03	7.738750e+18	5.297500e+18	
3.950000e+03	6.755000e+18	4.777500e+18	
4.050000e+03	5.487500e+18	3.817500e+18	
4.150000e+03	5.280000e+18	3.591250e+18	
4.250000e+03	4.425000e+18	3.053750e+18	
4.350000e+03	3.946250e+18	2.618750e+18	
4.450000e+03	3.160000e+18	2.216250e+18	
