% Depth (A)	V1 (cm^-3)	V2 (cm^-3)	...
5.000000e+01	2.917750e+19	2.078250e+19	
1.500000e+02	3.381375e+19	2.362875e+19	
2.500000e+02	4.505500e+19	3.125125e+19	
3.500000e+02	4.994000e+19	3.466500e+19	
4.500000e+02	5.712250e+19	3.947250e+19	
5.500000e+02	5.929000e+19	4.143750e+19	
6.500000e+02	5.353250e+19	3.723375e+19	
7.500000e+02	4.939000e+19	3.427000e+19	
8.500000e+02	4.785125e+19	3.272125e+19	
9.500000e+02	4.125000e+19	2.830250e+19	
1.050000e+03	3.624875e+19	2.512500e+19	
1.150000e+03	3.237125e+19	2.237000e+19	
1.250000e+03	2.882875e+19	1.986250e+19	
1.350000e+03	2.484625e+19	1.724125e+19	
1.450000e+03	2.315875e+19	1.619375e+19	
1.550000e+03	2.333375e+19	1.620750e+19	
1.650000e+03	2.129500e+19	1.486250e+19	
1.750000e+03	2.081750e+19	1.472000e+19	
1.850000e+03	1.725000e+19	1.183125e+19	
1.950000e+03	1.724000e+19	1.192750e+19	
2.050000e+03	1.673500e+19	1.168625e+19	
2.150000e+03	1.692750e+19	1.192125e+19	
2.250000e+03	1.701625e+19	1.200000e+19	
2.350000e+03	1.558875e+19	1.088000e+19	
2.450000e+03	1.467000e+19	1.034875e+19	
2.550000e+03	1.483375e+19	1.009000e+19	
2.650000e+03	1.237125e+19	8.723750e+18	
2.750000e+03	1.130750e+19	7.991250e+18	
2.850000e+03	1.233000e+19	8.603750e+18	
2.950000e+03	1.400250e+19	9.415000e+18	
3.050000e+03	1.148125e+19	8.016250e+18	
3.150000e+03	1.032875e+19	7.170000e+18	
3.250000e+03	8.868750e+18	6.180000e+18	
3.350000e+03	9.552500e+18	6.745000e+18	
3.450000e+03	8.728750e+18	6.081250e+18	
3.550000e+03	9.015000e+18	6.307500e+18	
3.650000e+03	7.638750e+18	5.223750e+18	
3.750000e+03	8.045000e+18	5.648750e+18	
3.850000e+03	7.715000e+18	5.310000e+18	
3.950000e+03	6.720000e+18	4.740000e+18	
4.050000e+03	5.486250e+18	3.777500e+18	
4.150000e+03	5.251250e+18	3.587500e+18	
4.250000e+03	4.423750e+18	3.070000e+18	
4.350000e+03	3.961250e+18	2.611250e+18	
4.450000e+03	3.161250e+18	2.215000e+18	
4.550000e+03	2.383750e+18	1.675000e+18	
4.650000e+03	2.086250e+18	1.416250e+18	
4.750000e+03	2.000000e+18	1.426250e+18	
4.850000e+03	1.553750e+18	1.067500e+18	
4.950000e+03	1.460000e+18	9.950000e+17	
5.050000e+03	1.255000e+18	8.725000e+17	
5.150000e+03	5.850000e+17	3.800000e+17	
5.250000e+03	4.850000e+17	3.100000e+17	
5.350000e+03	2.712500e+17	1.775000e+17	
5.450000e+03	2.125000e+17	1.375000e+17	
5.550000e+03	2.262500e+17	1.637500e+17	
5.650000e+03	2.075000e+17	1.400000e+17	
5.750000e+03	3.250000e+16	3.375000e+16	
5.850000e+03	3.625000e+16	1.625000e+16	
5.950000e+03	0.000000e+00	0.000000e+00	
6.050000e+03	0.000000e+00	0.000000e+00	
6.150000e+03	0.000000e+00	0.000000e+00	
6.250000e+03	0.000000e+00	0.000000e+00	
6.350000e+03	0.000000e+00	0.000000e+00	
6.450000e+03	0.000000e+00	0.000000e+00	
6.550000e+03	0.000000e+00	0.000000e+00	
6.650000e+03	0.000000e+00	0.000000e+00	
6.750000e+03	0.000000e+00	0.000000e+00	
6.850000e+03	0.000000e+00	0.000000e+00	
6.950000e+03	0.000000e+00	0.000000e+00	
7.050000e+03	0.000000e+00	0.000000e+00	
7.150000e+03	0.000000e+00	0.000000e+00	
7.250000e+03	0.000000e+00	0.000000e+00	
7.350000e+03	0.000000e+00	0.000000e+00	
7.450000e+03	0.000000e+00	0.000000e+00	
7.550000e+03	0.000000e+00	0.000000e+00	
7.650000e+03	0.000000e+00	0.000000e+00	
7.750000e+03	0.000000e+00	0.000000e+00	
7.850000e+03	0.000000e+00	0.000000e+00	
7.950000e+03	0.000000e+00	0.000000e+00	
8.050000e+03	0.000000e+00	0.000000e+00	
8.150000e+03	0.000000e+00	0.000000e+00	
8.250000e+03	0.000000e+00	0.000000e+00	
8.350000e+03	0.000000e+00	0.000000e+00	
8.450000e+03	0.000000e+00	0.000000e+00	
8.550000e+03	0.000000e+00	0.000000e+00	
8.650000e+03	0.000000e+00	0.000000e+00	
8.750000e+03	0.000000e+00	0.000000e+00	
8.850000e+03	0.000000e+00	0.000000e+00	
8.950000e+03	0.000000e+00	0.000000e+00	
9.050000e+03	0.000000e+00	0.000000e+00	
9.150000e+03	0.000000e+00	0.000000e+00	
9.250000e+03	0.000000e+00	0.000000e+00	
9.350000e+03	0.000000e+00	0.000000e+00	
9.450000e+03	0.000000e+00	0.000000e+00	
9.550000e+03	0.000000e+00	0.000000e+00	
9.650000e+03	0.000000e+00	0.000000e+00	
9.750000e+03	0.000000e+00	0.000000e+00	
9.850000e+03	0.000000e+00	0.000000e+00	
9.950000e+03	0.000000e+00	0.000000e+00	
5.000000e+01	7.658125e+19	5.420875e+19	
1.500000e+02	8.995250e+19	6.300750e+19	
2.500000e+02	1.148075e+20	7.929500e+19	
3.500000e+02	1.308150e+20	9.097875e+19	
4.500000e+02	1.498400e+20	1.028663e+20	
5.500000e+02	1.532125e+20	1.065900e+20	
6.500000e+02	1.468450e+20	1.014925e+20	
7.500000e+02	1.313838e+20	9.116000e+19	
8.500000e+02	1.229988e+20	8.434000e+19	
9.500000e+02	1.071788e+20	7.385875e+19	
1.050000e+03	9.529500e+19	6.568625e+19	
1.150000e+03	8.288750e+19	5.728875e+19	
1.250000e+03	7.368750e+19	5.099875e+19	
1.350000e+03	6.420625e+19	4.455875e+19	
1.450000e+03	6.104875e+19	4.240875e+19	
1.550000e+03	5.856875e+19	4.048375e+19	
1.650000e+03	5.426375e+19	3.742125e+19	
1.750000e+03	5.332875e+19	3.746625e+19	
1.850000e+03	4.661875e+19	3.211375e+19	
1.950000e+03	4.440125e+19	3.068625e+19	
2.050000e+03	4.416375e+19	3.085375e+19	
2.150000e+03	4.131000e+19	2.857125e+19	
2.250000e+03	4.238000e+19	2.968250e+19	
2.350000e+03	4.095500e+19	2.857625e+19	
2.450000e+03	3.659125e+19	2.574125e+19	
2.550000e+03	3.540000e+19	2.423625e+19	
2.650000e+03	3.247875e+19	2.264125e+19	
2.750000e+03	3.102125e+19	2.162500e+19	
2.850000e+03	3.060750e+19	2.111125e+19	
2.950000e+03	3.035500e+19	2.062500e+19	
3.050000e+03	2.665500e+19	1.857250e+19	
3.150000e+03	2.546000e+19	1.778875e+19	
3.250000e+03	2.417750e+19	1.684500e+19	
3.350000e+03	2.277375e+19	1.586625e+19	
3.450000e+03	2.000875e+19	1.400000e+19	
3.550000e+03	2.054875e+19	1.448625e+19	
3.650000e+03	1.909750e+19	1.307125e+19	
3.750000e+03	1.821375e+19	1.271375e+19	
3.850000e+03	1.600125e+19	1.100375e+19	
3.950000e+03	1.417750e+19	1.004375e+19	
4.050000e+03	1.279625e+19	8.796250e+18	
4.150000e+03	1.183875e+19	8.031250e+18	
4.250000e+03	9.491250e+18	6.635000e+18	
4.350000e+03	8.533750e+18	5.725000e+18	
4.450000e+03	6.688750e+18	4.697500e+18	
4.550000e+03	5.220000e+18	3.657500e+18	
4.650000e+03	4.851250e+18	3.340000e+18	
4.750000e+03	4.370000e+18	3.086250e+18	
4.850000e+03	3.378750e+18	2.325000e+18	
4.950000e+03	2.677500e+18	1.771250e+18	
5.050000e+03	2.400000e+18	1.611250e+18	
5.150000e+03	1.260000e+18	8.225000e+17	
5.250000e+03	7.912500e+17	5.112500e+17	
5.350000e+03	5.362500e+17	3.312500e+17	
5.450000e+03	4.400000e+17	2.887500e+17	
5.550000e+03	3.187500e+17	2.200000e+17	
5.650000e+03	2.900000e+17	2.025000e+17	
5.750000e+03	3.500000e+16	3.625000e+16	
5.850000e+03	3.625000e+16	1.625000e+16	
5.950000e+03	0.000000e+00	0.000000e+00	
6.050000e+03	0.000000e+00	0.000000e+00	
6.150000e+03	0.000000e+00	0.000000e+00	
6.250000e+03	0.000000e+00	0.000000e+00	
6.350000e+03	0.000000e+00	0.000000e+00	
6.450000e+03	0.000000e+00	0.000000e+00	
6.550000e+03	0.000000e+00	0.000000e+00	
6.650000e+03	0.000000e+00	0.000000e+00	
6.750000e+03	0.000000e+00	0.000000e+00	
6.850000e+03	0.000000e+00	0.000000e+00	
6.950000e+03	0.000000e+00	0.000000e+00	
7.050000e+03	0.000000e+00	0.000000e+00	
