% Depth (A)	Conc. (cm-3)
5.000000e+01	7.500000e+15
1.500000e+02	1.875000e+16
2.500000e+02	4.750000e+16
3.500000e+02	7.750000e+16
4.500000e+02	1.137500e+17
5.500000e+02	1.625000e+17
6.500000e+02	1.762500e+17
7.500000e+02	1.675000e+17
8.500000e+02	1.750000e+17
9.500000e+02	1.662500e+17
1.050000e+03	1.462500e+17
1.150000e+03	1.237500e+17
1.250000e+03	1.312500e+17
1.350000e+03	9.500000e+16
1.450000e+03	8.750000e+16
1.550000e+03	1.025000e+17
1.650000e+03	9.500000e+16
1.750000e+03	1.150000e+17
1.850000e+03	7.375000e+16
1.950000e+03	7.000000e+16
2.050000e+03	7.875000e+16
2.150000e+03	8.375000e+16
2.250000e+03	9.625000e+16
2.350000e+03	7.500000e+16
2.450000e+03	8.250000e+16
2.550000e+03	8.500000e+16
2.650000e+03	7.750000e+16
2.750000e+03	6.000000e+16
2.850000e+03	7.125000e+16
2.950000e+03	8.000000e+16
3.050000e+03	7.500000e+16
3.150000e+03	7.125000e+16
3.250000e+03	5.875000e+16
3.350000e+03	6.875000e+16
3.450000e+03	5.375000e+16
3.550000e+03	6.875000e+16
3.650000e+03	7.125000e+16
3.750000e+03	5.875000e+16
3.850000e+03	6.375000e+16
3.950000e+03	7.125000e+16
4.050000e+03	4.875000e+16
4.150000e+03	5.125000e+16
4.250000e+03	4.500000e+16
4.350000e+03	4.250000e+16
4.450000e+03	3.875000e+16
4.550000e+03	2.750000e+16
4.650000e+03	2.500000e+16
4.750000e+03	2.500000e+16
4.850000e+03	1.625000e+16
4.950000e+03	2.250000e+16
5.050000e+03	1.875000e+16
5.150000e+03	7.500000e+15
5.250000e+03	8.750000e+15
5.350000e+03	2.500000e+15
5.450000e+03	3.750000e+15
5.550000e+03	5.000000e+15
5.650000e+03	3.750000e+15
5.750000e+03	0.000000e+00
5.850000e+03	1.250000e+15
5.950000e+03	0.000000e+00
6.050000e+03	0.000000e+00
6.150000e+03	0.000000e+00
6.250000e+03	0.000000e+00
6.350000e+03	0.000000e+00
6.450000e+03	0.000000e+00
6.550000e+03	0.000000e+00
6.650000e+03	0.000000e+00
6.750000e+03	0.000000e+00
6.850000e+03	0.000000e+00
6.950000e+03	0.000000e+00
7.050000e+03	0.000000e+00
7.150000e+03	0.000000e+00
7.250000e+03	0.000000e+00
7.350000e+03	0.000000e+00
7.450000e+03	0.000000e+00
7.550000e+03	0.000000e+00
7.650000e+03	0.000000e+00
7.750000e+03	0.000000e+00
7.850000e+03	0.000000e+00
7.950000e+03	0.000000e+00
8.050000e+03	0.000000e+00
8.150000e+03	0.000000e+00
8.250000e+03	0.000000e+00
8.350000e+03	0.000000e+00
8.450000e+03	0.000000e+00
8.550000e+03	0.000000e+00
8.650000e+03	0.000000e+00
8.750000e+03	0.000000e+00
8.850000e+03	0.000000e+00
8.950000e+03	0.000000e+00
9.050000e+03	0.000000e+00
9.150000e+03	0.000000e+00
9.250000e+03	0.000000e+00
9.350000e+03	0.000000e+00
9.450000e+03	0.000000e+00
9.550000e+03	0.000000e+00
9.650000e+03	0.000000e+00
9.750000e+03	0.000000e+00
9.850000e+03	0.000000e+00
9.950000e+03	0.000000e+00
5.000000e+01	2.375000e+16
1.500000e+02	4.750000e+16
2.500000e+02	1.262500e+17
3.500000e+02	1.975000e+17
4.500000e+02	3.037500e+17
5.500000e+02	4.162500e+17
6.500000e+02	4.587500e+17
7.500000e+02	4.500000e+17
8.500000e+02	4.600000e+17
9.500000e+02	4.325000e+17
1.050000e+03	3.875000e+17
1.150000e+03	3.287500e+17
