% Depth (A)	Q (keV/Å/cm2)	T (keV/A/cm2)
5.000000e+01	9.722231e+10	2.307034e+10
1.500000e+02	9.440325e+10	2.677117e+10
2.500000e+02	9.723457e+10	3.519738e+10
3.500000e+02	9.524565e+10	3.888875e+10
4.500000e+02	9.506452e+10	4.438244e+10
5.500000e+02	8.970889e+10	4.615242e+10
6.500000e+02	8.207437e+10	4.169515e+10
7.500000e+02	7.560056e+10	3.847919e+10
8.500000e+02	7.003697e+10	3.715822e+10
9.500000e+02	6.304316e+10	3.214521e+10
1.050000e+03	5.741302e+10	2.854910e+10
1.150000e+03	5.278105e+10	2.538724e+10
1.250000e+03	4.850981e+10	2.276301e+10
1.350000e+03	4.471595e+10	1.964952e+10
1.450000e+03	4.195498e+10	1.848348e+10
1.550000e+03	4.025113e+10	1.860049e+10
1.650000e+03	3.724533e+10	1.721916e+10
1.750000e+03	3.511012e+10	1.678481e+10
1.850000e+03	3.182726e+10	1.379841e+10
1.950000e+03	3.043073e+10	1.394874e+10
2.050000e+03	2.854147e+10	1.343893e+10
2.150000e+03	2.744025e+10	1.369827e+10
2.250000e+03	2.617268e+10	1.367343e+10
2.350000e+03	2.391199e+10	1.246715e+10
2.450000e+03	2.236592e+10	1.180930e+10
2.550000e+03	2.111707e+10	1.177341e+10
2.650000e+03	1.881520e+10	1.009545e+10
2.750000e+03	1.738534e+10	9.277411e+09
2.850000e+03	1.707349e+10	9.863968e+09
2.950000e+03	1.642598e+10	1.096090e+10
3.050000e+03	1.425804e+10	9.152759e+09
3.150000e+03	1.295468e+10	8.329423e+09
3.250000e+03	1.169839e+10	7.161844e+09
3.350000e+03	1.099577e+10	7.668629e+09
3.450000e+03	1.005240e+10	6.970982e+09
3.550000e+03	9.354465e+09	7.200874e+09
3.650000e+03	8.055055e+09	6.125168e+09
3.750000e+03	7.660877e+09	6.336335e+09
3.850000e+03	6.889074e+09	6.123769e+09
3.950000e+03	5.769176e+09	5.409770e+09
4.050000e+03	4.873649e+09	4.404591e+09
4.150000e+03	4.367161e+09	4.147225e+09
4.250000e+03	3.557028e+09	3.518798e+09
4.350000e+03	2.951820e+09	3.051870e+09
4.450000e+03	2.376981e+09	2.516549e+09
4.550000e+03	1.887736e+09	1.949893e+09
4.650000e+03	1.527757e+09	1.634710e+09
4.750000e+03	1.339496e+09	1.577576e+09
4.850000e+03	1.025978e+09	1.194227e+09
4.950000e+03	8.948444e+08	1.136718e+09
5.050000e+03	6.444012e+08	9.645927e+08
5.150000e+03	3.475984e+08	4.636361e+08
5.250000e+03	2.674932e+08	3.620418e+08
5.350000e+03	1.540042e+08	2.026147e+08
5.450000e+03	1.219671e+08	1.649300e+08
5.550000e+03	1.187842e+08	1.729453e+08
5.650000e+03	8.636344e+07	1.577410e+08
5.750000e+03	1.597941e+07	3.536529e+07
5.850000e+03	8.600418e+06	2.072338e+07
5.950000e+03	0.000000e+00	0.000000e+00
6.050000e+03	0.000000e+00	0.000000e+00
6.150000e+03	0.000000e+00	0.000000e+00
6.250000e+03	0.000000e+00	0.000000e+00
6.350000e+03	0.000000e+00	0.000000e+00
6.450000e+03	0.000000e+00	0.000000e+00
6.550000e+03	0.000000e+00	0.000000e+00
6.650000e+03	0.000000e+00	0.000000e+00
6.750000e+03	0.000000e+00	0.000000e+00
6.850000e+03	0.000000e+00	0.000000e+00
6.950000e+03	0.000000e+00	0.000000e+00
7.050000e+03	0.000000e+00	0.000000e+00
7.150000e+03	0.000000e+00	0.000000e+00
7.250000e+03	0.000000e+00	0.000000e+00
7.350000e+03	0.000000e+00	0.000000e+00
7.450000e+03	0.000000e+00	0.000000e+00
7.550000e+03	0.000000e+00	0.000000e+00
7.650000e+03	0.000000e+00	0.000000e+00
7.750000e+03	0.000000e+00	0.000000e+00
7.850000e+03	0.000000e+00	0.000000e+00
7.950000e+03	0.000000e+00	0.000000e+00
8.050000e+03	0.000000e+00	0.000000e+00
8.150000e+03	0.000000e+00	0.000000e+00
8.250000e+03	0.000000e+00	0.000000e+00
8.350000e+03	0.000000e+00	0.000000e+00
8.450000e+03	0.000000e+00	0.000000e+00
8.550000e+03	0.000000e+00	0.000000e+00
8.650000e+03	0.000000e+00	0.000000e+00
8.750000e+03	0.000000e+00	0.000000e+00
8.850000e+03	0.000000e+00	0.000000e+00
8.950000e+03	0.000000e+00	0.000000e+00
9.050000e+03	0.000000e+00	0.000000e+00
9.150000e+03	0.000000e+00	0.000000e+00
9.250000e+03	0.000000e+00	0.000000e+00
9.350000e+03	0.000000e+00	0.000000e+00
9.450000e+03	0.000000e+00	0.000000e+00
9.550000e+03	0.000000e+00	0.000000e+00
9.650000e+03	0.000000e+00	0.000000e+00
9.750000e+03	0.000000e+00	0.000000e+00
9.850000e+03	0.000000e+00	0.000000e+00
9.950000e+03	0.000000e+00	0.000000e+00
5.000000e+01	2.469473e+11	6.011053e+10
1.500000e+02	2.407051e+11	7.125241e+10
2.500000e+02	2.449248e+11	8.954875e+10
3.500000e+02	2.431619e+11	1.020063e+11
4.500000e+02	2.412457e+11	1.155982e+11
5.500000e+02	2.280381e+11	1.190145e+11
6.500000e+02	2.117215e+11	1.138697e+11
7.500000e+02	1.911468e+11	1.023399e+11
8.500000e+02	1.760188e+11	9.579316e+10
9.500000e+02	1.584813e+11	8.358591e+10
1.050000e+03	1.442224e+11	7.458121e+10
1.150000e+03	1.311481e+11	6.482327e+10
1.250000e+03	1.202200e+11	5.799490e+10
1.350000e+03	1.103005e+11	5.071919e+10
1.450000e+03	1.041271e+11	4.820174e+10
1.550000e+03	9.804288e+10	4.648411e+10
1.650000e+03	9.113934e+10	4.334501e+10
1.750000e+03	8.571133e+10	4.255908e+10
1.850000e+03	7.872412e+10	3.705756e+10
1.950000e+03	7.399182e+10	3.554701e+10
2.050000e+03	7.004206e+10	3.527363e+10
2.150000e+03	6.532812e+10	3.304980e+10
2.250000e+03	6.293089e+10	3.385371e+10
2.350000e+03	5.847962e+10	3.265198e+10
2.450000e+03	5.337271e+10	2.941460e+10
2.550000e+03	4.969226e+10	2.817323e+10
2.650000e+03	4.545022e+10	2.605755e+10
2.750000e+03	4.218477e+10	2.499434e+10
2.850000e+03	3.963663e+10	2.425898e+10
2.950000e+03	3.685707e+10	2.396933e+10
3.050000e+03	3.307087e+10	2.138245e+10
3.150000e+03	3.057071e+10	2.041319e+10
3.250000e+03	2.812847e+10	1.937495e+10
3.350000e+03	2.512240e+10	1.815969e+10
3.450000e+03	2.252671e+10	1.611397e+10
3.550000e+03	2.097239e+10	1.640551e+10
3.650000e+03	1.870636e+10	1.517543e+10
3.750000e+03	1.664545e+10	1.436052e+10
3.850000e+03	1.452661e+10	1.272615e+10
3.950000e+03	1.243167e+10	1.144162e+10
4.050000e+03	1.086119e+10	1.015904e+10
4.150000e+03	9.409836e+09	9.190866e+09
4.250000e+03	7.562381e+09	7.609965e+09
4.350000e+03	6.224911e+09	6.564224e+09
4.450000e+03	4.999711e+09	5.326612e+09
4.550000e+03	3.913376e+09	4.163755e+09
4.650000e+03	3.361959e+09	3.800325e+09
4.750000e+03	2.772525e+09	3.440602e+09
4.850000e+03	2.102895e+09	2.587005e+09
4.950000e+03	1.603438e+09	2.055603e+09
5.050000e+03	1.249895e+09	1.827856e+09
5.150000e+03	6.950386e+08	9.969793e+08
5.250000e+03	4.203943e+08	5.916621e+08
5.350000e+03	2.723094e+08	3.850214e+08
5.450000e+03	2.256612e+08	3.459873e+08
5.550000e+03	1.606235e+08	2.444766e+08
5.650000e+03	1.179501e+08	2.215879e+08
5.750000e+03	1.674786e+07	3.896382e+07
5.850000e+03	8.600418e+06	2.072338e+07
5.950000e+03	0.000000e+00	0.000000e+00
6.050000e+03	0.000000e+00	0.000000e+00
