% Depth (A)	V1 (cm^-3)	V2 (cm^-3)	...
1.250000e+01	1.013141e+04	7.327976e+03	
3.750000e+01	1.988183e+03	1.598276e+04	
6.250000e+01	1.502385e+03	5.546667e+03	
8.750000e+01	3.353789e+03	1.669886e+03	
1.125000e+02	5.296285e+02	1.311607e+03	
1.375000e+02	3.941413e+02	5.584915e+02	
1.625000e+02	4.978492e+02	5.374445e+02	
1.875000e+02	3.613676e+02	2.702642e+02	
2.125000e+02	6.664784e+02	4.695756e+02	
2.375000e+02	2.743459e+02	2.593862e+03	
2.625000e+02	2.634311e+02	6.635983e+02	
2.875000e+02	2.445359e+03	7.739238e+02	
3.125000e+02	6.768699e+02	4.830598e+02	
3.375000e+02	9.218049e+02	2.496772e+03	
3.625000e+02	1.797034e+03	8.401322e+03	
3.875000e+02	7.958497e+03	2.066645e+03	
4.125000e+02	2.403380e+03	2.126268e+03	
4.375000e+02	3.020916e+03	5.096695e+03	
4.625000e+02	8.215729e+02	1.122595e+03	
4.875000e+02	4.538004e+03	1.288770e+04	
5.125000e+02	5.567821e+03	7.825002e+02	
5.375000e+02	1.354623e+04	5.452667e+03	
5.625000e+02	6.518408e+02	1.167662e+03	
5.875000e+02	1.338922e+04	9.599911e+03	
6.125000e+02	1.945596e+03	5.212482e+02	
6.375000e+02	1.932694e+03	7.215116e+03	
6.625000e+02	7.288708e+02	2.404144e+03	
6.875000e+02	1.081319e+03	4.258019e+03	
7.125000e+02	1.564406e+03	5.825798e+02	
7.375000e+02	1.014232e+04	1.009370e+03	
7.625000e+02	1.505469e+03	1.729340e+03	
7.875000e+02	6.842030e+02	8.043392e+02	
8.125000e+02	5.452641e+03	1.906391e+03	
8.375000e+02	2.728416e+03	1.118916e+03	
8.625000e+02	3.200066e+03	1.108589e+03	
8.875000e+02	1.966304e+03	5.830696e+03	
9.125000e+02	3.476195e+03	2.395305e+03	
9.375000e+02	8.957890e+02	6.016970e+02	
9.625000e+02	2.355152e+04	1.489391e+03	
9.875000e+02	7.294917e+02	1.368776e+04	
