% Depth (A)	Conc. (cm-3)
1.250000e+01	0.000000e+00
3.750000e+01	0.000000e+00
6.250000e+01	0.000000e+00
8.750000e+01	0.000000e+00
1.125000e+02	0.000000e+00
1.375000e+02	0.000000e+00
1.625000e+02	0.000000e+00
1.875000e+02	0.000000e+00
2.125000e+02	0.000000e+00
2.375000e+02	0.000000e+00
2.625000e+02	0.000000e+00
2.875000e+02	0.000000e+00
3.125000e+02	0.000000e+00
3.375000e+02	0.000000e+00
3.625000e+02	0.000000e+00
3.875000e+02	0.000000e+00
4.125000e+02	0.000000e+00
4.375000e+02	0.000000e+00
4.625000e+02	0.000000e+00
4.875000e+02	0.000000e+00
5.125000e+02	0.000000e+00
5.375000e+02	0.000000e+00
5.625000e+02	0.000000e+00
5.875000e+02	0.000000e+00
6.125000e+02	0.000000e+00
6.375000e+02	0.000000e+00
6.625000e+02	0.000000e+00
6.875000e+02	0.000000e+00
7.125000e+02	0.000000e+00
7.375000e+02	0.000000e+00
7.625000e+02	0.000000e+00
7.875000e+02	0.000000e+00
8.125000e+02	0.000000e+00
8.375000e+02	0.000000e+00
8.625000e+02	0.000000e+00
8.875000e+02	0.000000e+00
9.125000e+02	0.000000e+00
9.375000e+02	0.000000e+00
9.625000e+02	0.000000e+00
9.875000e+02	0.000000e+00
