% Depth (A)	NEP1 (Å-1)	NEP2 (Å-1)	...
1.250000e+01	2.232126e-01	2.365888e-01	
3.750000e+01	1.503213e-01	2.098768e-01	
6.250000e+01	2.950148e-02	5.753132e-02	
8.750000e+01	1.173590e-01	1.128380e-01	
1.125000e+02	2.687311e-03	3.837693e-02	
1.375000e+02	1.576504e-03	7.282418e-02	
1.625000e+02	5.700879e-03	2.236019e-02	
1.875000e+02	8.334619e-04	1.783314e-05	
2.125000e+02	6.656635e-02	6.210262e-03	
2.375000e+02	1.192869e-03	1.824669e-02	
2.625000e+02	2.600379e-05	6.511099e-03	
2.875000e+02	2.588660e-02	2.656366e-02	
3.125000e+02	1.045883e-02	5.708386e-04	
3.375000e+02	2.257586e-02	1.314070e-01	
3.625000e+02	1.566428e-01	1.847492e-01	
3.875000e+02	1.868514e-01	8.853408e-02	
4.125000e+02	3.272969e-02	2.848242e-01	
4.375000e+02	2.345182e-01	2.737270e-01	
4.625000e+02	7.229596e-02	5.525902e-02	
4.875000e+02	2.621585e-01	1.839782e-01	
5.125000e+02	2.093786e-01	2.515039e-02	
5.375000e+02	1.347582e-01	2.215596e-01	
5.625000e+02	1.609923e-02	3.608018e-02	
5.875000e+02	1.015216e-01	2.255480e-02	
6.125000e+02	6.314103e-02	9.931260e-04	
6.375000e+02	1.634767e-01	1.106130e-01	
6.625000e+02	1.290875e-02	7.130616e-02	
6.875000e+02	8.245487e-02	1.681919e-01	
7.125000e+02	3.212916e-02	1.817094e-03	
7.375000e+02	1.491188e-01	3.347551e-02	
7.625000e+02	3.712261e-02	5.738235e-02	
7.875000e+02	3.040508e-02	2.899547e-02	
8.125000e+02	2.798934e-02	1.241693e-01	
8.375000e+02	1.980490e-01	1.134700e-01	
8.625000e+02	1.551382e-01	1.303846e-01	
8.875000e+02	8.141281e-02	3.056339e-01	
9.125000e+02	1.658450e-01	1.980502e-01	
9.375000e+02	4.070595e-02	5.283718e-03	
9.625000e+02	1.215264e-01	8.026789e-02	
9.875000e+02	2.315811e-02	1.301750e-01	
