% Depth (A)	Q (keV/Å/cm2)	T (keV/A/cm2)
1.250000e+01	3.632840e-02	1.102676e-05
3.750000e+01	3.625699e-02	1.519201e-05
6.250000e+01	3.544429e-02	2.619026e-06
8.750000e+01	3.605852e-02	6.300198e-06
1.125000e+02	3.469572e-02	1.269368e-06
1.375000e+02	3.461891e-02	8.588724e-07
1.625000e+02	3.468705e-02	7.206898e-07
1.875000e+02	3.355733e-02	4.213768e-07
2.125000e+02	3.384189e-02	7.565768e-07
2.375000e+02	3.295525e-02	2.394012e-06
2.625000e+02	3.348459e-02	7.120235e-07
2.875000e+02	3.373134e-02	1.753018e-06
3.125000e+02	3.402508e-02	9.003018e-07
3.375000e+02	3.420273e-02	2.619039e-06
3.625000e+02	3.481854e-02	8.268799e-06
3.875000e+02	3.367300e-02	5.788527e-06
4.125000e+02	3.519558e-02	3.035638e-06
4.375000e+02	3.428027e-02	5.868888e-06
4.625000e+02	3.482495e-02	1.511344e-06
4.875000e+02	3.492068e-02	1.328112e-05
5.125000e+02	3.455694e-02	3.733985e-06
5.375000e+02	3.512796e-02	1.157410e-05
5.625000e+02	3.359783e-02	1.353623e-06
5.875000e+02	3.534476e-02	1.510427e-05
6.125000e+02	3.352651e-02	1.410234e-06
6.375000e+02	3.552831e-02	7.274125e-06
6.625000e+02	3.402075e-02	2.469083e-06
6.875000e+02	3.531747e-02	4.234447e-06
7.125000e+02	3.443214e-02	1.327875e-06
7.375000e+02	3.430169e-02	4.227017e-06
7.625000e+02	3.529342e-02	3.968964e-06
7.875000e+02	3.362548e-02	1.048045e-06
8.125000e+02	3.406222e-02	4.381844e-06
8.375000e+02	3.502128e-02	2.217256e-06
8.625000e+02	3.439179e-02	2.423395e-06
8.875000e+02	3.550840e-02	6.384128e-06
9.125000e+02	3.474068e-02	3.812031e-06
9.375000e+02	3.448989e-02	9.468094e-07
9.625000e+02	3.479293e-02	1.313608e-05
9.875000e+02	3.636788e-02	1.236467e-05
