% Depth (A)	V1 (cm^-3)	V2 (cm^-3)	...
3.333333e+01	4.471500e+21	2.794500e+21	
1.000000e+02	5.041500e+21	3.453750e+21	
1.666667e+02	5.535000e+21	3.807750e+21	
2.333333e+02	6.585000e+21	4.547250e+21	
3.000000e+02	7.415250e+21	5.166000e+21	
3.666667e+02	7.615500e+21	5.245500e+21	
4.333333e+02	8.007000e+21	5.439750e+21	
5.000000e+02	8.977500e+21	6.125250e+21	
5.666667e+02	9.233250e+21	6.343500e+21	
6.333333e+02	1.033125e+22	7.226250e+21	
7.000000e+02	1.114575e+22	7.635750e+21	
7.666667e+02	1.148700e+22	8.019750e+21	
8.333333e+02	1.226325e+22	8.540250e+21	
9.000000e+02	1.269225e+22	8.711250e+21	
9.666667e+02	1.382625e+22	9.573000e+21	
1.033333e+03	1.479000e+22	1.008150e+22	
1.100000e+03	1.459875e+22	1.001025e+22	
1.166667e+03	1.574925e+22	1.081125e+22	
1.233333e+03	1.618050e+22	1.112700e+22	
1.300000e+03	1.663350e+22	1.129950e+22	
1.366667e+03	1.692225e+22	1.159050e+22	
1.433333e+03	1.736025e+22	1.185375e+22	
1.500000e+03	1.787850e+22	1.236225e+22	
1.566667e+03	1.826175e+22	1.258500e+22	
1.633333e+03	1.764225e+22	1.212975e+22	
1.700000e+03	1.819425e+22	1.259700e+22	
1.766667e+03	1.785750e+22	1.230900e+22	
1.833333e+03	1.688625e+22	1.152975e+22	
1.900000e+03	1.700700e+22	1.171875e+22	
1.966667e+03	1.764000e+22	1.209075e+22	
2.033333e+03	1.774050e+22	1.220325e+22	
2.100000e+03	1.640175e+22	1.116225e+22	
2.166667e+03	1.531800e+22	1.054725e+22	
2.233333e+03	1.378350e+22	9.516750e+21	
2.300000e+03	1.392000e+22	9.637500e+21	
2.366667e+03	1.264950e+22	8.501250e+21	
2.433333e+03	1.142325e+22	7.527750e+21	
2.500000e+03	1.010100e+22	6.910500e+21	
2.566667e+03	9.269250e+21	6.346500e+21	
2.633333e+03	8.190000e+21	5.586750e+21	
2.700000e+03	7.476000e+21	5.274000e+21	
2.766667e+03	6.512250e+21	4.375500e+21	
2.833333e+03	6.050250e+21	4.220250e+21	
2.900000e+03	5.728500e+21	3.828750e+21	
2.966667e+03	4.490250e+21	3.141750e+21	
3.033333e+03	3.453000e+21	2.336250e+21	
3.100000e+03	2.390250e+21	1.566000e+21	
3.166667e+03	2.469000e+21	1.646250e+21	
3.233333e+03	2.481750e+21	1.738500e+21	
3.300000e+03	2.147250e+21	1.512000e+21	
3.366667e+03	1.867500e+21	1.269000e+21	
3.433333e+03	1.579500e+21	1.032000e+21	
3.500000e+03	1.387500e+21	9.922500e+20	
3.566667e+03	1.385250e+21	9.435000e+20	
3.633333e+03	1.218750e+21	8.437500e+20	
3.700000e+03	8.392500e+20	5.595000e+20	
3.766667e+03	8.745000e+20	6.247500e+20	
3.833333e+03	7.387500e+20	4.905000e+20	
3.900000e+03	5.295000e+20	3.322500e+20	
3.966667e+03	4.290000e+20	2.842500e+20	
