% Depth (A)	Conc. (cm-3)
3.333333e+01	0.000000e+00
1.000000e+02	7.500000e+17
1.666667e+02	0.000000e+00
2.333333e+02	7.500000e+17
3.000000e+02	0.000000e+00
3.666667e+02	1.500000e+18
4.333333e+02	0.000000e+00
5.000000e+02	1.500000e+18
5.666667e+02	1.500000e+18
6.333333e+02	7.500000e+17
7.000000e+02	2.250000e+18
7.666667e+02	3.750000e+18
8.333333e+02	7.500000e+17
9.000000e+02	3.750000e+18
9.666667e+02	2.250000e+18
1.033333e+03	8.250000e+18
1.100000e+03	6.000000e+18
1.166667e+03	9.750000e+18
1.233333e+03	8.250000e+18
1.300000e+03	1.350000e+19
1.366667e+03	9.000000e+18
1.433333e+03	2.175000e+19
1.500000e+03	1.650000e+19
1.566667e+03	1.500000e+19
1.633333e+03	1.350000e+19
1.700000e+03	2.475000e+19
1.766667e+03	2.025000e+19
1.833333e+03	2.325000e+19
1.900000e+03	2.325000e+19
1.966667e+03	2.250000e+19
2.033333e+03	3.825000e+19
2.100000e+03	2.775000e+19
2.166667e+03	3.450000e+19
2.233333e+03	3.000000e+19
2.300000e+03	2.325000e+19
2.366667e+03	3.375000e+19
2.433333e+03	2.700000e+19
2.500000e+03	2.400000e+19
2.566667e+03	2.325000e+19
2.633333e+03	2.475000e+19
2.700000e+03	2.175000e+19
2.766667e+03	2.325000e+19
2.833333e+03	1.950000e+19
2.900000e+03	2.250000e+19
2.966667e+03	2.175000e+19
3.033333e+03	1.575000e+19
3.100000e+03	6.750000e+18
3.166667e+03	6.750000e+18
3.233333e+03	1.050000e+19
3.300000e+03	5.250000e+18
3.366667e+03	7.500000e+18
3.433333e+03	5.250000e+18
3.500000e+03	2.250000e+18
3.566667e+03	6.000000e+18
3.633333e+03	4.500000e+18
3.700000e+03	3.000000e+18
3.766667e+03	3.750000e+18
3.833333e+03	3.750000e+18
3.900000e+03	7.500000e+17
3.966667e+03	3.000000e+18
