% Depth (A)	NEP1 (Å-1)	NEP2 (Å-1)	...
3.333333e+01	1.313676e+00	1.142743e+00	
1.000000e+02	1.330739e+00	1.383228e+00	
1.666667e+02	1.314310e+00	1.421868e+00	
2.333333e+02	1.444904e+00	1.877169e+00	
3.000000e+02	1.638619e+00	2.087288e+00	
3.666667e+02	1.525143e+00	2.088447e+00	
4.333333e+02	1.756151e+00	1.958188e+00	
5.000000e+02	1.924991e+00	2.239380e+00	
5.666667e+02	1.916982e+00	2.453925e+00	
6.333333e+02	2.076028e+00	2.704469e+00	
7.000000e+02	2.231599e+00	2.493397e+00	
7.666667e+02	2.358673e+00	2.913403e+00	
8.333333e+02	2.372062e+00	3.024504e+00	
9.000000e+02	2.534332e+00	3.180379e+00	
9.666667e+02	2.581476e+00	3.401069e+00	
1.033333e+03	2.991824e+00	3.432363e+00	
1.100000e+03	2.848630e+00	3.656589e+00	
1.166667e+03	3.136263e+00	3.545226e+00	
1.233333e+03	3.035730e+00	4.034920e+00	
1.300000e+03	3.053788e+00	3.823196e+00	
1.366667e+03	3.080555e+00	3.918764e+00	
1.433333e+03	3.215909e+00	3.944374e+00	
1.500000e+03	3.206078e+00	4.053065e+00	
1.566667e+03	3.574360e+00	4.321337e+00	
1.633333e+03	3.302313e+00	4.019756e+00	
1.700000e+03	3.557684e+00	4.295040e+00	
1.766667e+03	3.199907e+00	4.254297e+00	
1.833333e+03	3.099125e+00	3.884285e+00	
1.900000e+03	3.241161e+00	4.052204e+00	
1.966667e+03	3.289348e+00	3.987635e+00	
2.033333e+03	3.254142e+00	4.133507e+00	
2.100000e+03	3.038975e+00	3.635791e+00	
2.166667e+03	3.025851e+00	3.550755e+00	
2.233333e+03	2.746967e+00	3.197919e+00	
2.300000e+03	2.655254e+00	3.234693e+00	
2.366667e+03	2.330299e+00	2.980158e+00	
2.433333e+03	2.176834e+00	2.663345e+00	
2.500000e+03	1.934321e+00	2.529201e+00	
2.566667e+03	1.791606e+00	2.013009e+00	
2.633333e+03	1.621180e+00	2.076166e+00	
2.700000e+03	1.534804e+00	1.730387e+00	
2.766667e+03	1.361189e+00	1.687815e+00	
2.833333e+03	1.248806e+00	1.519478e+00	
2.900000e+03	1.067203e+00	1.462447e+00	
2.966667e+03	9.381444e-01	1.178380e+00	
3.033333e+03	6.591668e-01	8.877908e-01	
3.100000e+03	5.011582e-01	5.519920e-01	
3.166667e+03	4.761380e-01	5.746861e-01	
3.233333e+03	5.620308e-01	6.059652e-01	
3.300000e+03	4.578658e-01	5.380595e-01	
3.366667e+03	3.671193e-01	4.903414e-01	
3.433333e+03	3.344147e-01	3.886171e-01	
3.500000e+03	2.089047e-01	2.982005e-01	
3.566667e+03	2.954958e-01	3.018686e-01	
3.633333e+03	2.307280e-01	2.639178e-01	
3.700000e+03	1.679301e-01	2.029745e-01	
3.766667e+03	1.786142e-01	2.069199e-01	
3.833333e+03	1.510088e-01	1.786367e-01	
3.900000e+03	1.091724e-01	1.143670e-01	
3.966667e+03	1.050272e-01	1.031931e-01	
