% Depth (A)	Q (keV/Å/cm2)	T (keV/A/cm2)
3.333333e+01	2.976851e+13	3.213419e+12
1.000000e+02	2.942122e+13	3.900294e+12
1.666667e+02	3.007001e+13	4.264918e+12
2.333333e+02	3.039817e+13	5.080615e+12
3.000000e+02	3.138052e+13	5.729797e+12
3.666667e+02	3.073675e+13	5.812059e+12
4.333333e+02	3.074607e+13	6.098045e+12
5.000000e+02	3.119028e+13	6.856364e+12
5.666667e+02	3.101130e+13	7.077809e+12
6.333333e+02	3.183816e+13	7.984517e+12
7.000000e+02	3.163480e+13	8.455218e+12
7.666667e+02	3.162945e+13	8.883993e+12
8.333333e+02	3.158385e+13	9.454449e+12
9.000000e+02	3.192586e+13	9.697359e+12
9.666667e+02	3.161127e+13	1.062277e+13
1.033333e+03	3.160540e+13	1.124600e+13
1.100000e+03	3.108976e+13	1.112437e+13
1.166667e+03	3.099162e+13	1.194358e+13
1.233333e+03	3.046581e+13	1.232393e+13
1.300000e+03	3.012562e+13	1.258501e+13
1.366667e+03	2.901065e+13	1.286927e+13
1.433333e+03	2.856630e+13	1.325347e+13
1.500000e+03	2.795710e+13	1.367267e+13
1.566667e+03	2.735027e+13	1.392197e+13
1.633333e+03	2.593412e+13	1.352851e+13
1.700000e+03	2.553483e+13	1.384863e+13
1.766667e+03	2.402674e+13	1.363675e+13
1.833333e+03	2.245409e+13	1.289075e+13
1.900000e+03	2.195704e+13	1.298585e+13
1.966667e+03	2.128113e+13	1.350054e+13
2.033333e+03	1.997409e+13	1.342176e+13
2.100000e+03	1.830635e+13	1.252633e+13
2.166667e+03	1.654013e+13	1.163191e+13
2.233333e+03	1.485970e+13	1.052609e+13
2.300000e+03	1.434086e+13	1.061445e+13
2.366667e+03	1.262167e+13	9.555302e+12
2.433333e+03	1.102443e+13	8.584265e+12
2.500000e+03	9.854143e+12	7.654262e+12
2.566667e+03	8.867912e+12	7.123299e+12
2.633333e+03	7.796761e+12	6.253135e+12
2.700000e+03	6.958317e+12	5.739169e+12
2.766667e+03	5.956252e+12	4.909897e+12
2.833333e+03	5.495183e+12	4.652179e+12
2.900000e+03	4.759587e+12	4.318900e+12
2.966667e+03	3.844457e+12	3.416427e+12
3.033333e+03	3.068897e+12	2.598870e+12
3.100000e+03	2.521800e+12	1.792320e+12
3.166667e+03	2.457995e+12	1.870326e+12
3.233333e+03	2.253179e+12	1.898303e+12
3.300000e+03	2.047496e+12	1.664386e+12
3.366667e+03	1.702414e+12	1.414572e+12
3.433333e+03	1.505319e+12	1.154418e+12
3.500000e+03	1.336683e+12	1.100586e+12
3.566667e+03	1.130922e+12	1.054832e+12
3.633333e+03	1.048514e+12	9.446873e+11
3.700000e+03	7.978086e+11	6.320898e+11
3.766667e+03	7.984838e+11	6.793110e+11
3.833333e+03	6.128055e+11	5.442255e+11
3.900000e+03	5.307490e+11	3.991635e+11
3.966667e+03	4.589733e+11	3.338728e+11
