% Depth (A)	I1 (cm^-3)	I2 (cm^-3)	...
3.333333e+01	4.337250e+21	2.666250e+21	
1.000000e+02	5.037750e+21	3.457500e+21	
1.666667e+02	5.516250e+21	3.804750e+21	
2.333333e+02	6.601500e+21	4.545000e+21	
3.000000e+02	7.395000e+21	5.150250e+21	
3.666667e+02	7.604250e+21	5.213250e+21	
4.333333e+02	8.028750e+21	5.466000e+21	
5.000000e+02	8.951250e+21	6.108000e+21	
5.666667e+02	9.277500e+21	6.362250e+21	
6.333333e+02	1.033800e+22	7.188750e+21	
7.000000e+02	1.109475e+22	7.647750e+21	
7.666667e+02	1.146300e+22	8.025750e+21	
8.333333e+02	1.232025e+22	8.505000e+21	
9.000000e+02	1.264050e+22	8.669250e+21	
9.666667e+02	1.381125e+22	9.589500e+21	
1.033333e+03	1.474200e+22	1.004700e+22	
1.100000e+03	1.464675e+22	1.005675e+22	
1.166667e+03	1.569525e+22	1.071525e+22	
1.233333e+03	1.620825e+22	1.117800e+22	
1.300000e+03	1.659075e+22	1.127025e+22	
1.366667e+03	1.689225e+22	1.162050e+22	
1.433333e+03	1.743300e+22	1.186725e+22	
1.500000e+03	1.780800e+22	1.228950e+22	
1.566667e+03	1.825275e+22	1.253925e+22	
1.633333e+03	1.769550e+22	1.230075e+22	
1.700000e+03	1.819725e+22	1.250175e+22	
1.766667e+03	1.777800e+22	1.226700e+22	
1.833333e+03	1.697850e+22	1.159050e+22	
1.900000e+03	1.699350e+22	1.172100e+22	
1.966667e+03	1.758675e+22	1.209900e+22	
2.033333e+03	1.766400e+22	1.212150e+22	
2.100000e+03	1.648350e+22	1.123275e+22	
2.166667e+03	1.522725e+22	1.048875e+22	
2.233333e+03	1.387275e+22	9.566250e+21	
2.300000e+03	1.390350e+22	9.651750e+21	
2.366667e+03	1.263000e+22	8.553000e+21	
2.433333e+03	1.148250e+22	7.536000e+21	
2.500000e+03	1.012050e+22	6.855750e+21	
2.566667e+03	9.258750e+21	6.426750e+21	
2.633333e+03	8.233500e+21	5.595750e+21	
2.700000e+03	7.481250e+21	5.277000e+21	
2.766667e+03	6.520500e+21	4.370250e+21	
2.833333e+03	6.062250e+21	4.226250e+21	
2.900000e+03	5.724750e+21	3.809250e+21	
2.966667e+03	4.526250e+21	3.200250e+21	
3.033333e+03	3.465000e+21	2.351250e+21	
3.100000e+03	2.405250e+21	1.580250e+21	
3.166667e+03	2.465250e+21	1.639500e+21	
3.233333e+03	2.502750e+21	1.752000e+21	
3.300000e+03	2.123250e+21	1.490250e+21	
3.366667e+03	1.862250e+21	1.292250e+21	
3.433333e+03	1.593750e+21	1.027500e+21	
3.500000e+03	1.386750e+21	9.802500e+20	
3.566667e+03	1.407000e+21	9.562500e+20	
3.633333e+03	1.215000e+21	8.422500e+20	
3.700000e+03	8.527500e+20	5.730000e+20	
3.766667e+03	8.647500e+20	6.232500e+20	
3.833333e+03	7.417500e+20	4.950000e+20	
3.900000e+03	5.452500e+20	3.285000e+20	
3.966667e+03	4.057500e+20	2.820000e+20	
