% Depth (A)	V1 (cm^-3)	V2 (cm^-3)	...
3.333333e+01	4.121800e+03	5.598425e+03	
1.000000e+02	1.133251e+03	4.084169e+03	
1.666667e+02	1.193465e+03	2.904388e+03	
2.333333e+02	3.564267e+03	3.316080e+03	
3.000000e+02	1.820749e+03	3.107809e+03	
3.666667e+02	2.602232e+03	1.068553e+04	
4.333333e+02	2.650393e+03	3.154297e+03	
5.000000e+02	3.172928e+03	4.679173e+03	
5.666667e+02	5.408165e+03	7.509114e+03	
6.333333e+02	2.618816e+03	3.943734e+03	
7.000000e+02	2.973449e+03	7.361315e+03	
7.666667e+02	3.348886e+03	7.450165e+03	
8.333333e+02	9.471342e+03	4.412730e+03	
9.000000e+02	7.960081e+03	6.707620e+03	
9.666667e+02	5.544185e+03	1.255330e+04	
1.033333e+03	5.465059e+03	1.372943e+04	
1.100000e+03	4.266309e+03	1.451985e+04	
1.166667e+03	1.532194e+04	7.350178e+03	
1.233333e+03	5.149775e+03	4.261653e+04	
1.300000e+03	5.602200e+03	7.089068e+03	
1.366667e+03	2.296268e+04	1.116407e+04	
1.433333e+03	1.643357e+04	9.079623e+03	
1.500000e+03	1.180987e+04	1.180481e+04	
1.566667e+03	7.254915e+03	1.142354e+04	
1.633333e+03	7.529911e+03	1.056939e+04	
1.700000e+03	9.122948e+03	1.069213e+04	
1.766667e+03	6.339129e+03	2.841769e+04	
1.833333e+03	1.169398e+04	1.023507e+04	
1.900000e+03	1.583335e+04	9.103195e+03	
1.966667e+03	6.962911e+03	1.560630e+04	
2.033333e+03	6.245749e+03	3.583452e+04	
2.100000e+03	6.391553e+03	2.579006e+04	
2.166667e+03	1.279686e+04	2.400095e+04	
2.233333e+03	5.903939e+03	1.779725e+04	
2.300000e+03	1.017990e+04	1.126207e+04	
2.366667e+03	4.305229e+03	1.656878e+04	
2.433333e+03	8.284285e+03	3.083679e+04	
2.500000e+03	4.411508e+03	9.509094e+03	
2.566667e+03	4.507253e+03	2.493775e+04	
2.633333e+03	6.711102e+03	2.031402e+04	
2.700000e+03	5.536111e+03	1.203236e+04	
2.766667e+03	4.025350e+03	9.427400e+03	
2.833333e+03	1.066586e+04	1.016663e+04	
2.900000e+03	5.507023e+03	8.740106e+03	
2.966667e+03	1.904514e+04	9.964469e+03	
3.033333e+03	6.432021e+03	4.416805e+03	
3.100000e+03	5.490418e+03	1.845159e+05	
3.166667e+03	2.874088e+03	9.947741e+03	
3.233333e+03	5.274801e+03	3.778062e+03	
3.300000e+03	4.639304e+03	5.826314e+03	
3.366667e+03	4.034452e+03	7.959632e+03	
3.433333e+03	2.841913e+03	2.216602e+04	
3.500000e+03	3.456682e+03	6.720738e+03	
3.566667e+03	4.503155e+03	4.370118e+03	
3.633333e+03	1.032159e+04	7.635743e+03	
3.700000e+03	7.855596e+03	4.406841e+03	
3.766667e+03	4.202730e+03	4.695061e+03	
3.833333e+03	2.777969e+03	3.531497e+03	
3.900000e+03	3.656111e+03	3.992263e+03	
3.966667e+03	3.610309e+03	3.019214e+03	
