% Depth (A)	Conc. (cm-3)
3.333333e+01	0.000000e+00
1.000000e+02	0.000000e+00
1.666667e+02	0.000000e+00
2.333333e+02	0.000000e+00
3.000000e+02	0.000000e+00
3.666667e+02	0.000000e+00
4.333333e+02	0.000000e+00
5.000000e+02	0.000000e+00
5.666667e+02	0.000000e+00
6.333333e+02	0.000000e+00
7.000000e+02	0.000000e+00
7.666667e+02	0.000000e+00
8.333333e+02	0.000000e+00
9.000000e+02	0.000000e+00
9.666667e+02	0.000000e+00
1.033333e+03	0.000000e+00
1.100000e+03	0.000000e+00
1.166667e+03	0.000000e+00
1.233333e+03	0.000000e+00
1.300000e+03	0.000000e+00
1.366667e+03	0.000000e+00
1.433333e+03	0.000000e+00
1.500000e+03	0.000000e+00
1.566667e+03	0.000000e+00
1.633333e+03	0.000000e+00
1.700000e+03	0.000000e+00
1.766667e+03	0.000000e+00
1.833333e+03	0.000000e+00
1.900000e+03	0.000000e+00
1.966667e+03	0.000000e+00
2.033333e+03	0.000000e+00
2.100000e+03	0.000000e+00
2.166667e+03	0.000000e+00
2.233333e+03	0.000000e+00
2.300000e+03	0.000000e+00
2.366667e+03	0.000000e+00
2.433333e+03	0.000000e+00
2.500000e+03	0.000000e+00
2.566667e+03	0.000000e+00
2.633333e+03	0.000000e+00
2.700000e+03	0.000000e+00
2.766667e+03	0.000000e+00
2.833333e+03	0.000000e+00
2.900000e+03	0.000000e+00
2.966667e+03	0.000000e+00
3.033333e+03	0.000000e+00
3.100000e+03	0.000000e+00
3.166667e+03	0.000000e+00
3.233333e+03	0.000000e+00
3.300000e+03	0.000000e+00
3.366667e+03	0.000000e+00
3.433333e+03	0.000000e+00
3.500000e+03	0.000000e+00
3.566667e+03	0.000000e+00
3.633333e+03	0.000000e+00
3.700000e+03	0.000000e+00
3.766667e+03	0.000000e+00
3.833333e+03	0.000000e+00
3.900000e+03	0.000000e+00
3.966667e+03	0.000000e+00
