% Depth (A)	NEP1 (Å-1)	NEP2 (Å-1)	...
3.333333e+01	7.152468e-02	8.737104e-02	
1.000000e+02	3.936672e-02	4.003372e-02	
1.666667e+02	4.207557e-02	4.784020e-02	
2.333333e+02	5.150025e-02	6.083804e-02	
3.000000e+02	6.017817e-02	7.116424e-02	
3.666667e+02	6.085695e-02	6.784507e-02	
4.333333e+02	6.522603e-02	6.613877e-02	
5.000000e+02	7.626006e-02	8.847492e-02	
5.666667e+02	8.180332e-02	8.986610e-02	
6.333333e+02	8.562290e-02	8.412540e-02	
7.000000e+02	8.836522e-02	1.059644e-01	
7.666667e+02	9.634580e-02	1.071815e-01	
8.333333e+02	1.031216e-01	1.109235e-01	
9.000000e+02	1.011253e-01	1.180282e-01	
9.666667e+02	1.126098e-01	1.314093e-01	
1.033333e+03	1.187737e-01	1.364380e-01	
1.100000e+03	1.170424e-01	1.354943e-01	
1.166667e+03	1.338530e-01	1.386707e-01	
1.233333e+03	1.296200e-01	1.591068e-01	
1.300000e+03	1.330886e-01	1.578481e-01	
1.366667e+03	1.484872e-01	1.614046e-01	
1.433333e+03	1.372404e-01	1.623372e-01	
1.500000e+03	1.453284e-01	1.829647e-01	
1.566667e+03	1.583670e-01	1.736291e-01	
1.633333e+03	1.536022e-01	1.665855e-01	
1.700000e+03	1.606517e-01	1.782113e-01	
1.766667e+03	1.563761e-01	1.836574e-01	
1.833333e+03	1.461850e-01	1.664722e-01	
1.900000e+03	1.576936e-01	1.791942e-01	
1.966667e+03	1.457394e-01	1.859361e-01	
2.033333e+03	1.642569e-01	1.748951e-01	
2.100000e+03	1.456452e-01	1.827684e-01	
2.166667e+03	1.339085e-01	1.749230e-01	
2.233333e+03	1.257916e-01	1.715035e-01	
2.300000e+03	1.354590e-01	1.691086e-01	
2.366667e+03	1.144540e-01	1.486344e-01	
2.433333e+03	1.169905e-01	1.486334e-01	
2.500000e+03	1.069509e-01	1.418997e-01	
2.566667e+03	1.004860e-01	1.374474e-01	
2.633333e+03	8.561879e-02	1.092350e-01	
2.700000e+03	9.348155e-02	1.122201e-01	
2.766667e+03	9.452990e-02	1.060485e-01	
2.833333e+03	9.207018e-02	1.170023e-01	
2.900000e+03	9.063874e-02	1.019428e-01	
2.966667e+03	8.586012e-02	9.947031e-02	
3.033333e+03	8.714479e-02	9.094122e-02	
3.100000e+03	7.319213e-02	7.794143e-02	
3.166667e+03	7.563507e-02	8.406575e-02	
3.233333e+03	6.841664e-02	7.213120e-02	
3.300000e+03	7.764982e-02	7.808714e-02	
3.366667e+03	7.494265e-02	7.410590e-02	
3.433333e+03	6.668089e-02	7.236507e-02	
3.500000e+03	6.483066e-02	6.875662e-02	
3.566667e+03	6.711611e-02	7.160270e-02	
3.633333e+03	7.078550e-02	7.338746e-02	
3.700000e+03	7.078076e-02	7.281297e-02	
3.766667e+03	6.320541e-02	6.276076e-02	
3.833333e+03	5.745224e-02	6.016258e-02	
3.900000e+03	6.382352e-02	6.204484e-02	
3.966667e+03	5.991842e-02	5.623986e-02	
