% Depth (A)	Q (keV/Å/cm2)	T (keV/A/cm2)
3.333333e+01	3.665931e-02	6.946348e-06
1.000000e+02	3.344313e-02	4.134558e-06
1.666667e+02	3.125161e-02	3.145215e-06
2.333333e+02	3.094546e-02	4.658401e-06
3.000000e+02	3.141931e-02	3.646119e-06
3.666667e+02	3.210537e-02	1.045970e-05
4.333333e+02	3.275688e-02	4.223740e-06
5.000000e+02	3.372025e-02	5.409695e-06
5.666667e+02	3.389646e-02	9.583937e-06
6.333333e+02	3.440228e-02	4.709865e-06
7.000000e+02	3.482241e-02	7.951034e-06
7.666667e+02	3.508233e-02	8.215913e-06
8.333333e+02	3.549912e-02	8.495896e-06
9.000000e+02	3.583018e-02	9.948838e-06
9.666667e+02	3.635153e-02	1.369496e-05
1.033333e+03	3.674094e-02	1.466202e-05
1.100000e+03	3.686978e-02	1.498100e-05
1.166667e+03	3.715181e-02	1.406156e-05
1.233333e+03	3.761085e-02	3.982569e-05
1.300000e+03	3.766902e-02	9.073841e-06
1.366667e+03	3.783078e-02	2.108213e-05
1.433333e+03	3.792147e-02	1.629017e-05
1.500000e+03	3.823530e-02	1.625657e-05
1.566667e+03	3.835135e-02	1.360906e-05
1.633333e+03	3.857171e-02	1.298608e-05
1.700000e+03	3.856508e-02	1.389883e-05
1.766667e+03	3.873915e-02	2.798877e-05
1.833333e+03	3.859401e-02	1.487837e-05
1.900000e+03	3.886302e-02	1.588765e-05
1.966667e+03	3.886272e-02	1.705403e-05
2.033333e+03	3.891232e-02	3.458513e-05
2.100000e+03	3.901668e-02	2.566209e-05
2.166667e+03	3.890783e-02	2.747282e-05
2.233333e+03	3.867373e-02	1.852675e-05
2.300000e+03	3.873942e-02	1.494429e-05
2.366667e+03	3.851146e-02	1.667470e-05
2.433333e+03	3.833902e-02	2.942945e-05
2.500000e+03	3.806430e-02	1.196864e-05
2.566667e+03	3.785601e-02	2.429224e-05
2.633333e+03	3.739090e-02	2.110338e-05
2.700000e+03	3.716142e-02	1.337958e-05
2.766667e+03	3.681250e-02	1.025045e-05
2.833333e+03	3.682030e-02	1.422686e-05
2.900000e+03	3.660511e-02	1.039944e-05
2.966667e+03	3.632968e-02	1.825441e-05
3.033333e+03	3.566825e-02	7.018407e-06
3.100000e+03	3.522167e-02	1.641721e-04
3.166667e+03	3.521821e-02	1.017156e-05
3.233333e+03	3.526266e-02	5.987686e-06
3.300000e+03	3.514859e-02	7.389732e-06
3.366667e+03	3.512164e-02	8.979127e-06
3.433333e+03	3.489529e-02	2.080070e-05
3.500000e+03	3.490472e-02	7.643418e-06
3.566667e+03	3.495940e-02	6.014912e-06
3.633333e+03	3.477939e-02	1.192999e-05
3.700000e+03	3.473790e-02	7.737968e-06
3.766667e+03	3.475173e-02	6.207942e-06
3.833333e+03	3.456429e-02	4.510447e-06
3.900000e+03	3.443464e-02	5.322180e-06
3.966667e+03	3.501479e-02	4.497633e-06
