Ion = Helium      . Mass = 4
Tgt =  C + Si (Solid). Density = 1 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E-01   9.835E-01  2.905E+00 
1.155E-01   1.057E+00  3.011E+00 
1.334E-01   1.136E+00  3.113E+00 
1.541E-01   1.221E+00  3.211E+00 
1.780E-01   1.312E+00  3.303E+00 
2.057E-01   1.410E+00  3.388E+00 
2.376E-01   1.516E+00  3.466E+00 
2.744E-01   1.629E+00  3.535E+00 
3.170E-01   1.751E+00  3.595E+00 
3.662E-01   1.882E+00  3.645E+00 
4.230E-01   2.023E+00  3.683E+00 
4.886E-01   2.174E+00  3.710E+00 
5.644E-01   2.337E+00  3.723E+00 
6.520E-01   2.511E+00  3.724E+00 
7.531E-01   2.699E+00  3.711E+00 
8.700E-01   2.901E+00  3.684E+00 
1.005E+00   3.118E+00  3.643E+00 
1.161E+00   3.351E+00  3.589E+00 
1.341E+00   3.602E+00  3.522E+00 
1.549E+00   3.871E+00  3.442E+00 
1.789E+00   4.160E+00  3.350E+00 
2.067E+00   4.471E+00  3.248E+00 
2.387E+00   4.806E+00  3.135E+00 
2.758E+00   5.165E+00  3.015E+00 
3.186E+00   5.551E+00  2.888E+00 
3.680E+00   5.966E+00  2.755E+00 
4.251E+00   6.412E+00  2.618E+00 
4.910E+00   6.892E+00  2.478E+00 
5.672E+00   7.407E+00  2.337E+00 
6.552E+00   7.961E+00  2.197E+00 
7.568E+00   8.556E+00  2.057E+00 
8.742E+00   9.198E+00  1.920E+00 
1.010E+01   9.883E+00  1.787E+00 
1.167E+01   1.061E+01  1.657E+00 
1.348E+01   1.140E+01  1.532E+00 
1.557E+01   1.228E+01  1.413E+00 
1.798E+01   1.327E+01  1.300E+00 
2.077E+01   1.438E+01  1.193E+00 
2.399E+01   1.560E+01  1.091E+00 
2.771E+01   1.692E+01  9.966E-01 
3.201E+01   1.835E+01  9.081E-01 
3.698E+01   1.986E+01  8.258E-01 
4.272E+01   2.146E+01  7.321E-01 
4.934E+01   2.314E+01  6.638E-01 
5.700E+01   2.491E+01  6.008E-01 
6.584E+01   2.678E+01  5.428E-01 
7.605E+01   2.877E+01  4.896E-01 
8.785E+01   3.089E+01  4.410E-01 
1.015E+02   3.313E+01  3.873E-01 
1.172E+02   3.547E+01  3.481E-01 
1.354E+02   3.786E+01  3.124E-01 
1.564E+02   4.027E+01  2.801E-01 
1.807E+02   4.264E+01  2.507E-01 
2.087E+02   4.491E+01  2.243E-01 
2.411E+02   4.702E+01  2.004E-01 
2.785E+02   4.890E+01  1.788E-01 
3.217E+02   5.050E+01  1.595E-01 
3.716E+02   5.174E+01  1.421E-01 
4.293E+02   5.258E+01  1.265E-01 
4.959E+02   5.299E+01  1.126E-01 
5.728E+02   5.294E+01  1.001E-01 
6.616E+02   5.243E+01  8.889E-02 
7.643E+02   5.148E+01  7.891E-02 
8.829E+02   5.013E+01  7.002E-02 
1.020E+03   4.842E+01  6.208E-02 
1.178E+03   4.640E+01  5.502E-02 
1.361E+03   4.416E+01  4.873E-02 
1.572E+03   4.174E+01  4.314E-02 
1.816E+03   3.921E+01  3.818E-02 
2.097E+03   3.663E+01  3.376E-02 
2.423E+03   3.405E+01  2.985E-02 
2.799E+03   3.151E+01  2.638E-02 
3.233E+03   2.904E+01  2.330E-02 
3.734E+03   2.667E+01  2.057E-02 
4.314E+03   2.442E+01  1.816E-02 
4.983E+03   2.230E+01  1.602E-02 
5.756E+03   2.032E+01  1.413E-02 
6.649E+03   1.847E+01  1.246E-02 
7.681E+03   1.677E+01  1.098E-02 
8.872E+03   1.522E+01  9.673E-03 
1.025E+04   1.365E+01  8.521E-03 
1.184E+04   1.230E+01  7.503E-03 
1.367E+04   1.106E+01  6.605E-03 
1.580E+04   9.942E+00  5.813E-03 
1.825E+04   8.925E+00  5.115E-03 
2.108E+04   8.003E+00  4.499E-03 
2.435E+04   7.170E+00  3.956E-03 
2.812E+04   6.418E+00  3.478E-03 
3.249E+04   5.741E+00  3.057E-03 
3.753E+04   5.131E+00  2.687E-03 
4.335E+04   4.583E+00  2.361E-03 
5.008E+04   4.091E+00  2.074E-03 
5.784E+04   3.650E+00  1.821E-03 
6.682E+04   3.256E+00  1.599E-03 
7.718E+04   2.903E+00  1.404E-03 
8.916E+04   2.588E+00  1.232E-03 
1.030E+05   2.307E+00  1.081E-03 
1.190E+05   2.057E+00  9.485E-04 
1.374E+05   1.834E+00  8.320E-04 
1.587E+05   1.636E+00  7.297E-04 
